"study_name","study_id","year_mid","region","country","population","age_group","sex","sti","adj_prev","adj_se"
"Project PrEP STI substudy","Mullick 2023",2021,"SA","South Africa","PHC/OPD attendees","Youth","Female","CT",0.295365636189206,0.0266669000315747
"Project PrEP STI substudy","Mullick 2023",2021,"SA","South Africa","PHC/OPD attendees","Youth","Female","NG",0.15560498159505,0.0202873534424589
"Project PrEP STI substudy","Mullick 2023",2021,"SA","South Africa","PHC/OPD attendees","Youth","Female","TV",0.0126572291336808,0.00985569037501049
"Project PrEP STI substudy","Mullick 2023",2021,"SA","South Africa","PHC/OPD attendees","Youth","Male","CT",0.329369753569931,0.081434331421915
"Project PrEP STI substudy","Mullick 2023",2021,"SA","South Africa","PHC/OPD attendees","Youth","Male","NG",0.329999294693417,0.0824557969437774
"Project PrEP STI substudy","Mullick 2023",2021,"SA","South Africa","PHC/OPD attendees","Youth","Male","TV",0.0250476086816597,0.0243375911503245
NA,"Lagarde 2004",2000,"WCA","Burkina Faso","Population-representative survey participants","Adult","Female","CT",0.0317410104394163,0.00693340062638006
NA,"Lagarde 2004",2000,"WCA","Burkina Faso","Population-representative survey participants","Adult","Female","NG",0.00142549427011968,0.00135545276980082
NA,"Lagarde 2004",2000,"WCA","Burkina Faso","Population-representative survey participants","Adult","Female","TV",0.220588640734689,0.0166548142047751
NA,"Lagarde 2004",2000,"WCA","Burkina Faso","Population-representative survey participants","Adult","Male","CT",0.0136762131154738,0.00563981104384218
NA,"Lagarde 2004",2000,"WCA","Burkina Faso","Population-representative survey participants","Adult","Male","NG",0.00707457274580796,0.00371663886960425
NA,"Lagarde 2004",2000,"WCA","Burkina Faso","Population-representative survey participants","Adult","Male","TV",0.0174941872104627,0.0045055001635746
NA,"Cowan 2002",2000,"EA","Zimbabwe","Community members","Youth","Male","CT",0.00834189135003972,0.00659701861015819
NA,"Cowan 2002",2000,"EA","Zimbabwe","Community members","Youth","Male","NG",0.0457064369600552,0.0131869367199597
NA,"Cowan 2002",2000,"EA","Zimbabwe","Community members","Youth","Female","CT",0.0285526840327892,0.0115624831442022
NA,"Cowan 2002",2000,"EA","Zimbabwe","Community members","Youth","Female","NG",0.0252740918210636,0.0103169894081689
"AMREF Mine Health Project","Clift 2003",2000,"EA","Tanzania","Community members","Adult","Male","CT",0.0534948083664846,0.0177847400270832
"AMREF Mine Health Project","Clift 2003",2000,"EA","Tanzania","Community members","Adult","Male","NG",0.0231732637575856,0.0120503724309803
"AMREF Mine Health Project","Clift 2003",2000,"EA","Tanzania","Community members","Adult","Female","CT",0.0310207862249902,0.013537192315976
"AMREF Mine Health Project","Clift 2003",2000,"EA","Tanzania","Community members","Adult","Female","NG",0.0209180538043704,0.0104305184452415
"STIPS (RCSS)","Grabowski 2022",2019,"EA","Uganda","Population-representative survey participants","Adult","Female","CT",0.106221848156685,0.0148773942915523
"STIPS (RCSS)","Grabowski 2022",2019,"EA","Uganda","Population-representative survey participants","Adult","Female","NG",0.0615708368430272,0.0113618728958206
"STIPS (RCSS)","Grabowski 2022",2019,"EA","Uganda","Population-representative survey participants","Adult","Female","TV",0.152994402856182,0.0183028471021809
"STIPS (RCSS)","Grabowski 2022",2019,"EA","Uganda","Population-representative survey participants","Adult","Male","CT",0.104501905835795,0.0173358827730684
"STIPS (RCSS)","Grabowski 2022",2019,"EA","Uganda","Population-representative survey participants","Adult","Male","NG",0.026672616563975,0.00963548421099558
"STIPS (RCSS)","Grabowski 2022",2019,"EA","Uganda","Population-representative survey participants","Adult","Male","TV",0.0346437979798725,0.0120919212586644
"NIMH Collaborative HIV/STD Prevention Trial","Celentano 2010",2003,"EA","Zimbabwe","Community members","Adult","Female","CT",0.0638279875161006,0.00546838271678408
"NIMH Collaborative HIV/STD Prevention Trial","Celentano 2010",2003,"EA","Zimbabwe","Community members","Adult","Female","NG",0.0375977004886847,0.00437964712370084
"NIMH Collaborative HIV/STD Prevention Trial","Celentano 2010",2003,"EA","Zimbabwe","Community members","Adult","Male","CT",0.0206241256972914,0.00332697357672587
"NIMH Collaborative HIV/STD Prevention Trial","Celentano 2010",2003,"EA","Zimbabwe","Community members","Adult","Male","NG",0.017850882007112,0.00280685697548039
