cov_id,study_id,study_name,month_start,year_start,month_end,year_end,year_publish,year_mid,country,region_actual,region_analysis,urban_rural,location,study_design,study_sample,sex,population,population_detail,symptomatic,symptomatic_prop,never_sex,never_sex_prop,age_group,reproductive_age,age_range,age_min,age_max,age_mean,age_median,age_iqr,hiv_status,hiv_tested,hiv_positive,hiv_prevalence,sti,denom,num,prevalence,specimen,specimencat,test,testcat,sens,spec,adj_prev,adj_se,adj_prev_lwr,adj_prev_upr,adj_denom,adj_num,notes,search_v
#21391,Abbai-Shaik 2016,NA,June,2015,July,2015,2016,2015,South Africa,SA,SA,Urban,Durban,Cross sectional,Consecutive,Male,PHC/OPD attendees,Men recruited from general population who attended clinic at HPRU research facility,Exclude,0,NR,NR,Adult,Y,18+,18,NR,NA,31,23-38,Mixed,NA,NA,NR,CT,100,10,0.1,urine,urine,BD ProbeTec ET PCR assay (SDA),NAAT,87.8,99.3,0.115993151,0.03511637,0.056369418,0.193229086,83.15124069,9.644974433,NA,2
#21418,Aboyeji 2003,NA,January,2000,December,2000,2003,2000,Nigeria,WA,WA,Urban,Ilorin,Cross sectional,Random,Female,ANC attendees,Asymptomatic pregnant women,NA,NA,Exclude,0,Adult,Y,19 to 43,19,43,NA,NA,NA,Mixed,NA,NA,NR,NG,230,3,0.013043478,GE,genital fluid,"Wet mount microscopy and culture. Smears were also made from the cervical specimen andstained by Gram’s method to search for intracellular Gram-negative diplococci. Swabs were inoculated on blood,chocolate and Sabouraud’s dextrose agar plates. Bloodand chocolate agar plates were incubated in a candleextinction tin at 378C for 24 – 48 hours. Gonococci wereidentified by a positive oxidase test and sugar fermentationreactions.",culture,75.7,100,0.022764368,0.01130552,0.006357405,0.049684451,174.0499238,3.962136507,NA,1
#21418,Aboyeji 2003,NA,January,2000,December,2000,2003,2000,Nigeria,WA,WA,Urban,Ilorin,Cross sectional,Random,Female,ANC attendees,Asymptomatic pregnant women,NA,NA,Exclude,0,Adult,Y,19 to 43,19,43,NA,NA,NA,Mixed,NA,NA,NR,TV,230,11,0.047826087,GE,genital fluid,Wet mount microscopy,WM,52,100,0.099235569,0.028779354,0.049625542,0.162119312,107.9236202,10.70986189,NA,1
#32101,Adejuwon 2005,NA,NR,NR,NR,NR,2005,2002,Nigeria,WA,WA,Urban,Ibadan,Cross sectional,Convenience,Female,FP attendees,"Patients at the family planning unit of University College Hospital, Ibadan. Data extracted for women who had used intra-uterine contraceptive devices for at least two months without experiencing vaginal discharge (n = 14) and a further two women who were not on contraception.",Exclude,0,NR,NR,Adult,NR,NR,NR,NR,NA,NA,NA,Mixed,NA,NA,NR,NG,16,0,0,endocervical swab,genital fluid,culture,culture,75.7,100,0.072311456,0.068749496,0.001867186,0.256167733,14.19287131,1.026307194,NA,2
#32101,Adejuwon 2005,NA,NR,NR,NR,NR,2005,2002,Nigeria,WA,WA,Urban,Ibadan,Cross sectional,Convenience,Female,FP attendees,"Patients at the family planning unit of University College Hospital, Ibadan. Data extracted for women who had used intra-uterine contraceptive devices for at least two months without experiencing vaginal discharge (n = 14) and a further two women who were not on contraception.",Exclude,0,NR,NR,Adult,NR,NR,NR,NR,NA,NA,NA,Mixed,NA,NA,NR,TV,16,0,0,endocervical swab,genital fluid,WM,WM,52,100,0.108363636,0.103553811,0.002789435,0.383013046,9.010298226,0.976388675,NA,2
#32520,Ademe 2013,NA,November,2010,January,2011,2013,2010,Ethiopia,EA,EA,Rural,"Amhara Regional State, West Gojjam Zone",Cross sectional,Convenience,Female,ANC attendees,Pregnant women,NA,NA,Exclude,0,Adult,Y,15 to 49,15,45,NA,NA,NA,Mixed,NA,NA,NR,TV,222,14,0.063063063,GE,genital fluid,Wet mount microscopy,WM,52,100,0.128769683,0.032290161,0.072439576,0.199036452,107.5984948,13.85542407,NA,1
#24159,Adesiji 2015,NA,NR,NR,NR,NR,2015,2012,Nigeria,WA,WA,Mixed,Osun State,Cross sectional,Convenience,Female,FP and GYN attendees,Patients attending family planning and obstetrics and gynaecology clinics from selected hospitals in southern part of Nigeria.,Include,0.26428571428571429,NR,NR,Adult,Y,20+,20,NR,NA,NA,NA,Mixed,NA,NA,NR,CT,140,1,0.007,endocervical swab,genital fluid,Chlamydia Rapid Test Device -Swab/Urone (Interchemical Ltd. China),rapid antigen test,56,99,0.017951914,0.015717553,0.000668504,0.059115425,71.36309518,1.281104173,NA,2
#30256,Agabi 2023,NA,NR,NR,NR,NR,2023,2020,Nigeria,WA,WA,Urban,Jos North,Cross sectional,NR,Female,GYN attendees,Gynecology clinic attendees,NA,NA,NA,NA,Adult,N,16 to 57,16,57,NA,NA,NA,Mixed,NA,NA,NR,TV,150,8,0.053,High vaginal swab,genital fluid,wet mount,WM,52,100,0.11321168,0.036205182,0.053467748,0.192203453,76.58958716,8.670835806,Age stratification available,1
#21469,Ajani 2022,NA,February,2019,April,2020,2022,2019,Nigeria,WA,WA,Urban,"Babcock University, Ogun State",Cross sectional,Random,Male,Students,Undergraduate’s male and females students of Babcock University who were sexually active and had no STI symptoms,Exclude,0,Exclude,0,Adult,Y,15 to 30,15,30,NA,NA,NA,Mixed,NA,NA,NR,TV,123,14,0.114,urine,urine,In-Pouch TV culture,culture,87.6,100,0.136388591,0.032233719,0.080792745,0.205912044,113.3641109,15.46157138,Data also available for TV diagnosis using wet mount,2
#21469,Ajani 2022,NA,February,2019,April,2020,2022,2019,Nigeria,WA,WA,Urban,"Babcock University, Ogun State",Cross sectional,Random,Female,Students,Undergraduate’s male and females students of Babcock University who were sexually active and had no STI symptoms,Exclude,0,Exclude,0,Adult,Y,15 to 30,15,30,NA,NA,NA,Mixed,NA,NA,NR,TV,123,16,0.13,urine,urine,In-Pouch TV culture,culture,68.8,100,0.198011442,0.044456291,0.117484546,0.291840641,80.35113168,15.91044348,Data also available for TV diagnosis using wet mount,2
#25821,Akinbo 2017,NA,NR,NR,NR,NR,2017,2014,Nigeria,WA,WA,Urban,Benin City,Cross sectional,NR,Female,Students,Secondary school students,NA,NA,NA,NA,Youth,Y,13 to 17,13,17,NA,NA,NA,Mixed,NA,NA,NR,TV,272,25,0.091911765,High vaginal swab,genital fluid,Culture,culture,68.8,100,0.137854609,0.025737688,0.090679383,0.19157056,179.4166532,24.73341259,"Note of study population only 94 has had a sexual relatioinship - 21 of the 94 were positive, whilst only 4 of the 178 who said they ahdn't. also collected data using WM -- 15 of 272 were positive (5.5%)",1
#25518,Alexander 2018,NA,NR,2015,NR,2015,2018,2015,Nigeria,WA,WA,Urban,"Ifako Ijaiye, Agege,Shomolu",Cross sectional,Random,Female,ANC attendees,pregnant women attending ANC,NR,NR,Exclude,0,Adult,Y,15 to 60,15,60,NA,NA,NA,Mixed,NA,NA,NR,TV,300,34,0.113,HVS,genital fluid,WM,WM,52,100,0.222937368,0.035021543,0.159124056,0.296831519,141.2434547,31.48844396,NA,2
#21497,Alexandre 2015,NA,December,2011,November,2012,2015,2012,Angola,CA,CA,Urban,Luanda,RCT,Convenience,Female,PHC/OPD attendees,Women attending maternal and newborn check-ups,Include,NR,Exclude,0,Adult,Y,14 to 52,14,52,25,NA,NA,Mixed,NA,NA,NR,CT,311,8,0.025723473,endocervical,genital fluid,multiplex pcr,NAAT,88.6,99.6,0.028034933,0.010367837,0.010727937,0.051473416,253.4976143,7.106788638,NA,2
#21497,Alexandre 2015,NA,December,2011,November,2012,2015,2012,Angola,CA,CA,Urban,Luanda,RCT,Convenience,Female,PHC/OPD attendees,Women attending maternal and newborn check-ups,Include,NR,Exclude,0,Adult,Y,14 to 52,14,52,25,NA,NA,Mixed,NA,NA,NR,NG,311,2,0.006430868,endocervical,genital fluid,multiplex pcr,NAAT,93.3,99.2,0.005728941,0.004936567,0.000185545,0.018312709,233.737869,1.339070408,NA,2
#21532,Apea-Kubi 2004,Apea,November,2000,December,2001,2004,2001,Ghana,WA,WA,Urban,Accra,Cross sectional,NR,Female,ANC attendees,Pregnant women newly registered for ANC,NR,NR,Exclude,0,Adult,Y,16+,16,NR,29.6,NA,NA,Mixed,NA,NA,NR,CT,261,9,0.034482759,Cervical swab,genital fluid,PCR,NAAT,88.6,99.6,0.038487917,0.013165825,0.016755641,0.066841211,213.4926927,8.216889122,NA,1
#21532,Apea-Kubi 2004,Apea,November,2000,December,2001,2004,2001,Ghana,WA,WA,Urban,Accra,Cross sectional,NR,Female,ANC attendees,Pregnant women newly registered for ANC,NR,NR,Exclude,0,Adult,Y,16+,16,NR,29.6,NA,NA,Mixed,NA,NA,NR,NG,261,1,0.003831418,Cervical swab,genital fluid,PCR cervical swab,NAAT,93.3,99.2,0.005468514,0.005072215,0.000155868,0.018550063,211.3939282,1.156010684,NA,1
