cov_id,study_id,study_name,month_start,year_start,month_end,year_end,year_publish,year_mid,country,region_actual,region_analysis,urban_rural,location,study_design,study_sample,sex,population,population_detail,age_group,reproductive_age,age_range,age_min,age_max,age_mean,age_median,age_iqr,hiv_status,hiv_tested,hiv_positive,hiv_prevalence,sti,num,denom,prev,specimen,test,sens,spec,adj_prev,adj_se,adj_prev_lwr,adj_prev_upr,adj_num,adj_denom
#23088,Mullick 2023,Project PrEP STI substudy,September,2020,December,2021,2023,2021,South Africa,SA,SA,Mixed,"Eastern Cape, KwaZulu-Natal, Tshwane",Cohort,Consecutive,Male,PHC/OPD attendees,PHC clients accessing oral PrEP,Adult,Y,15+,15,NR,NA,NA,NA,HIV negative,70,0,0,CT,14,70,0.2,urine,NAAT,87.8,99.3,0.231089798,0.055181408,0.133978602,0.344324044,13.48502061,58.35402829
#23088,Mullick 2023,Project PrEP STI substudy,September,2020,December,2021,2023,2021,South Africa,SA,SA,Mixed,"Eastern Cape, KwaZulu-Natal, Tshwane",Cohort,Consecutive,Male,PHC/OPD attendees,PHC clients accessing oral PrEP,Adult,Y,15+,15,NR,NA,NA,NA,HIV negative,70,0,0,NG,13,70,0.186,urine,NAAT,80.9,99.9,0.239191964,0.057498372,0.138493693,0.364115768,13.16610037,55.04407487
#23088,Mullick 2023,Project PrEP STI substudy,September,2020,December,2021,2023,2021,South Africa,SA,SA,Mixed,"Eastern Cape, KwaZulu-Natal, Tshwane",Cohort,Consecutive,Male,PHC/OPD attendees,PHC clients accessing oral PrEP,Adult,Y,15+,15,NR,NA,NA,NA,HIV negative,70,0,0,TV,0,70,0,urine,NAAT,96,97.7,0.014497945,0.014553457,0.000323951,0.052790935,0.977998186,67.45771295
#23088,Mullick 2023,Project PrEP STI substudy,September,2020,December,2021,2023,2021,South Africa,SA,SA,Mixed,"Eastern Cape, KwaZulu-Natal, Tshwane",Cohort,Consecutive,Female,PHC/OPD attendees,PHC clients accessing oral PrEP,Youth,Y,15 to 24,15,24,NA,NA,NA,HIV negative,362,0,0,CT,93,362,0.257,urine,NAAT,87,99.8,0.295365636,0.0266669,0.24486161,0.349174448,86.44476277,292.6703454
#23088,Mullick 2023,Project PrEP STI substudy,September,2020,December,2021,2023,2021,South Africa,SA,SA,Mixed,"Eastern Cape, KwaZulu-Natal, Tshwane",Cohort,Consecutive,Female,PHC/OPD attendees,PHC clients accessing oral PrEP,Youth,Y,15 to 24,15,24,NA,NA,NA,HIV negative,362,0,0,NG,51,362,0.141,urine,NAAT,91.6,100,0.155604982,0.020287353,0.117860577,0.198206841,49.67545625,319.2407836
#23088,Mullick 2023,Project PrEP STI substudy,September,2020,December,2021,2023,2021,South Africa,SA,SA,Mixed,"Eastern Cape, KwaZulu-Natal, Tshwane",Cohort,Consecutive,Female,PHC/OPD attendees,PHC clients accessing oral PrEP,Youth,Y,15 to 24,15,24,NA,NA,NA,HIV negative,362,0,0,TV,7,362,0.019,urine,NAAT,66.9,98.3,0.012657229,0.00985569,0.000496785,0.036986049,1.628437641,128.6567245
#23088,Mullick 2023,Project PrEP STI substudy,September,2020,December,2021,2023,2021,South Africa,SA,SA,Mixed,"Eastern Cape, KwaZulu-Natal, Tshwane",Cohort,Consecutive,Male,PHC/OPD attendees,PHC clients accessing oral PrEP,Youth,Y,15 to 24,15,24,NA,NA,NA,HIV negative,39,0,0,CT,11,39,0.282051282,urine,NAAT,87.8,99.3,0.329369754,0.081434331,0.182454019,0.491714342,10.97072923,33.30824737
#23088,Mullick 2023,Project PrEP STI substudy,September,2020,December,2021,2023,2021,South Africa,SA,SA,Mixed,"Eastern Cape, KwaZulu-Natal, Tshwane",Cohort,Consecutive,Male,PHC/OPD attendees,PHC clients accessing oral PrEP,Youth,Y,15 to 24,15,24,NA,NA,NA,HIV negative,39,0,0,NG,10,39,0.256410256,urine,NAAT,80.9,99.9,0.329999295,0.082455797,0.182243628,0.50498945,10.7314621,32.51965163
#23088,Mullick 2023,Project PrEP STI substudy,September,2020,December,2021,2023,2021,South Africa,SA,SA,Mixed,"Eastern Cape, KwaZulu-Natal, Tshwane",Cohort,Consecutive,Male,PHC/OPD attendees,PHC clients accessing oral PrEP,Youth,Y,15 to 24,15,24,NA,NA,NA,HIV negative,39,0,0,TV,0,39,0,urine,NAAT,96,97.7,0.025047609,0.024337591,0.000582803,0.09079427,1.032668111,41.2282116
#21618,Barnabas 2018,WISH,November,2013,February,2015,2018,2014,South Africa,SA,SA,Urban,Cape Town and Soweto,Cohort,Consecutive,Female,PHC/OPD attendees,Participants recruited from youth centres and the community,Youth,Y,16 to 22,16,22,NA,18,17-20,HIV negative,297,0,0,CT,88,297,0.3,genital fluid,NAAT,88.6,99.6,0.33380219,0.030578471,0.27432798,0.395578878,79.38711637,237.8268288
