"sti","sex","admin","iso_a2","iso_a3","n"
"Chlamydia","Female","Algeria","DZ","DZA",NA
"Chlamydia","Female","Angola","AO","AGO",1
"Chlamydia","Female","Benin","BJ","BEN",1
"Chlamydia","Female","Botswana","BW","BWA",6
"Chlamydia","Female","Burkina Faso","BF","BFA",2
"Chlamydia","Female","Burundi","BI","BDI",0
"Chlamydia","Female","Cameroon","CM","CMR",3
"Chlamydia","Female","Central African Republic","CF","CAF",0
"Chlamydia","Female","Chad","TD","TCD",2
"Chlamydia","Female","Congo","CG","COG",1
"Chlamydia","Female","Côte d'Ivoire","CI","CIV",0
"Chlamydia","Female","Democratic Republic of Congo","CD","COD",2
"Chlamydia","Female","Djibouti","DJ","DJI",NA
"Chlamydia","Female","Egypt","EG","EGY",NA
"Chlamydia","Female","Equatorial Guinea","GQ","GNQ",0
"Chlamydia","Female","Eritrea","ER","ERI",0
"Chlamydia","Female","Eswatini","SZ","SWZ",3
"Chlamydia","Female","Ethiopia","ET","ETH",2
"Chlamydia","Female","Gabon","GA","GAB",0
"Chlamydia","Female","Ghana","GH","GHA",4
"Chlamydia","Female","Guinea","GN","GIN",0
"Chlamydia","Female","Guinea-Bissau","GW","GNB",1
"Chlamydia","Female","Kenya","KE","KEN",22
"Chlamydia","Female","Lesotho","LS","LSO",0
"Chlamydia","Female","Liberia","LR","LBR",0
"Chlamydia","Female","Libya","LY","LBY",NA
"Chlamydia","Female","Madagascar","MG","MDG",0
"Chlamydia","Female","Malawi","MW","MWI",8
"Chlamydia","Female","Mali","ML","MLI",1
"Chlamydia","Female","Mauritania","MR","MRT",0
"Chlamydia","Female","Morocco","MA","MAR",NA
"Chlamydia","Female","Mozambique","MZ","MOZ",5
"Chlamydia","Female","Namibia","NA","NAM",0
"Chlamydia","Female","Niger","NE","NER",0
"Chlamydia","Female","Nigeria","NG","NGA",7
"Chlamydia","Female","Rwanda","RW","RWA",4
"Chlamydia","Female","Senegal","SN","SEN",0
"Chlamydia","Female","Sierra Leone","SL","SLE",0
"Chlamydia","Female","Somalia","SO","SOM",0
"Chlamydia","Female","Somaliland","-99","-99",0
"Chlamydia","Female","South Africa","ZA","ZAF",42
"Chlamydia","Female","South Sudan","SS","SSD",0
"Chlamydia","Female","Sudan","SD","SDN",0
"Chlamydia","Female","Tanzania","TZ","TZA",16
"Chlamydia","Female","The Gambia","GM","GMB",2
"Chlamydia","Female","Togo","TG","TGO",0
"Chlamydia","Female","Tunisia","TN","TUN",NA
"Chlamydia","Female","Uganda","UG","UGA",17
"Chlamydia","Female","Western Sahara","EH","ESH",NA
"Chlamydia","Female","Zambia","ZM","ZMB",6
"Chlamydia","Female","Zimbabwe","ZW","ZWE",12
"Chlamydia","Male","Algeria","DZ","DZA",NA
"Chlamydia","Male","Angola","AO","AGO",0
"Chlamydia","Male","Benin","BJ","BEN",1
"Chlamydia","Male","Botswana","BW","BWA",1
"Chlamydia","Male","Burkina Faso","BF","BFA",1
"Chlamydia","Male","Burundi","BI","BDI",0
"Chlamydia","Male","Cameroon","CM","CMR",1
"Chlamydia","Male","Central African Republic","CF","CAF",0
"Chlamydia","Male","Chad","TD","TCD",0
"Chlamydia","Male","Congo","CG","COG",0
"Chlamydia","Male","Côte d'Ivoire","CI","CIV",0
"Chlamydia","Male","Democratic Republic of Congo","CD","COD",0
"Chlamydia","Male","Djibouti","DJ","DJI",NA
"Chlamydia","Male","Egypt","EG","EGY",NA
"Chlamydia","Male","Equatorial Guinea","GQ","GNQ",0
"Chlamydia","Male","Eritrea","ER","ERI",0
"Chlamydia","Male","Eswatini","SZ","SWZ",0
"Chlamydia","Male","Ethiopia","ET","ETH",0
"Chlamydia","Male","Gabon","GA","GAB",0
"Chlamydia","Male","Ghana","GH","GHA",0
"Chlamydia","Male","Guinea","GN","GIN",0
"Chlamydia","Male","Guinea-Bissau","GW","GNB",1
"Chlamydia","Male","Kenya","KE","KEN",4
"Chlamydia","Male","Lesotho","LS","LSO",0
"Chlamydia","Male","Liberia","LR","LBR",0
"Chlamydia","Male","Libya","LY","LBY",NA
"Chlamydia","Male","Madagascar","MG","MDG",0
"Chlamydia","Male","Malawi","MW","MWI",1
"Chlamydia","Male","Mali","ML","MLI",0
"Chlamydia","Male","Mauritania","MR","MRT",0
"Chlamydia","Male","Morocco","MA","MAR",NA
"Chlamydia","Male","Mozambique","MZ","MOZ",0
"Chlamydia","Male","Namibia","NA","NAM",0
"Chlamydia","Male","Niger","NE","NER",0
"Chlamydia","Male","Nigeria","NG","NGA",0
"Chlamydia","Male","Rwanda","RW","RWA",1
"Chlamydia","Male","Senegal","SN","SEN",0
"Chlamydia","Male","Sierra Leone","SL","SLE",0
"Chlamydia","Male","Somalia","SO","SOM",0
"Chlamydia","Male","Somaliland","-99","-99",0
"Chlamydia","Male","South Africa","ZA","ZAF",14
"Chlamydia","Male","South Sudan","SS","SSD",0
"Chlamydia","Male","Sudan","SD","SDN",0
"Chlamydia","Male","Tanzania","TZ","TZA",6
"Chlamydia","Male","The Gambia","GM","GMB",0
"Chlamydia","Male","Togo","TG","TGO",0
"Chlamydia","Male","Tunisia","TN","TUN",NA
"Chlamydia","Male","Uganda","UG","UGA",4
"Chlamydia","Male","Western Sahara","EH","ESH",NA
"Chlamydia","Male","Zambia","ZM","ZMB",1
"Chlamydia","Male","Zimbabwe","ZW","ZWE",3
"Gonorrhoea","Female","Algeria","DZ","DZA",NA
"Gonorrhoea","Female","Angola","AO","AGO",1
"Gonorrhoea","Female","Benin","BJ","BEN",1
"Gonorrhoea","Female","Botswana","BW","BWA",8
"Gonorrhoea","Female","Burkina Faso","BF","BFA",1
"Gonorrhoea","Female","Burundi","BI","BDI",0
"Gonorrhoea","Female","Cameroon","CM","CMR",2
"Gonorrhoea","Female","Central African Republic","CF","CAF",0
"Gonorrhoea","Female","Chad","TD","TCD",2
"Gonorrhoea","Female","Congo","CG","COG",0
"Gonorrhoea","Female","Côte d'Ivoire","CI","CIV",0
"Gonorrhoea","Female","Democratic Republic of Congo","CD","COD",2
"Gonorrhoea","Female","Djibouti","DJ","DJI",NA
"Gonorrhoea","Female","Egypt","EG","EGY",NA
"Gonorrhoea","Female","Equatorial Guinea","GQ","GNQ",0
"Gonorrhoea","Female","Eritrea","ER","ERI",0
"Gonorrhoea","Female","Eswatini","SZ","SWZ",3
"Gonorrhoea","Female","Ethiopia","ET","ETH",5
"Gonorrhoea","Female","Gabon","GA","GAB",0
"Gonorrhoea","Female","Ghana","GH","GHA",3
"Gonorrhoea","Female","Guinea","GN","GIN",0
"Gonorrhoea","Female","Guinea-Bissau","GW","GNB",1
"Gonorrhoea","Female","Kenya","KE","KEN",22
"Gonorrhoea","Female","Lesotho","LS","LSO",0
"Gonorrhoea","Female","Liberia","LR","LBR",0
"Gonorrhoea","Female","Libya","LY","LBY",NA
"Gonorrhoea","Female","Madagascar","MG","MDG",0
"Gonorrhoea","Female","Malawi","MW","MWI",8
"Gonorrhoea","Female","Mali","ML","MLI",1
"Gonorrhoea","Female","Mauritania","MR","MRT",0
"Gonorrhoea","Female","Morocco","MA","MAR",NA
"Gonorrhoea","Female","Mozambique","MZ","MOZ",5
"Gonorrhoea","Female","Namibia","NA","NAM",0
"Gonorrhoea","Female","Niger","NE","NER",0
"Gonorrhoea","Female","Nigeria","NG","NGA",8
"Gonorrhoea","Female","Rwanda","RW","RWA",3
"Gonorrhoea","Female","Senegal","SN","SEN",1
"Gonorrhoea","Female","Sierra Leone","SL","SLE",0
"Gonorrhoea","Female","Somalia","SO","SOM",0
"Gonorrhoea","Female","Somaliland","-99","-99",0
"Gonorrhoea","Female","South Africa","ZA","ZAF",43
