"sti","sex","region","year","prev","lwr","upr"
"CT","Female","EA",2020,0.0967101118514967,0.0681738431786691,0.137191117564213
"CT","Female","SA",2020,0.163435369839538,0.115569588274171,0.231125856840631
"CT","Female","WCA",2020,0.0376061982635762,0.0207176406370973,0.0682619306228851
"CT","Male","EA",2020,0.0607717862753821,0.0398380340437326,0.0927056290741272
"CT","Male","SA",2020,0.102497784516666,0.0715185778828037,0.146896039348554
"CT","Male","WCA",2020,0.00706135225992859,0.0012420449929601,0.0401456436936018
"NG","Female","EA",2020,0.0249782058043173,0.0164643970492107,0.0378945407680594
"NG","Female","SA",2020,0.0436025599849926,0.0288494144305573,0.0659002366173209
"NG","Female","WCA",2020,0.0147182995695827,0.00680696700203919,0.0318245030650335
"NG","Male","EA",2020,0.0160178009153244,0.00915891289126962,0.0280131440498285
"NG","Male","SA",2020,0.0370772398608356,0.0235531103032651,0.0583668864959783
"NG","Male","WCA",2020,0.0236830483167539,0.00686051280542242,0.0817558094389657
"TV","Female","EA",2020,0.0909605393766123,0.0545212177579856,0.151754125529824
"TV","Female","SA",2020,0.0699147988057075,0.0393159496979499,0.124328144928353
"TV","Female","WCA",2020,0.139101002528136,0.0819926437880977,0.235985669084392
"TV","Male","EA",2020,0.0259130313048622,0.0144469835975144,0.0464792658532744
"TV","Male","SA",2020,0.0100979398293132,0.00526305228143223,0.0193743826479113
"TV","Male","WCA",2020,0.0480537735415828,0.0221524414198644,0.10423975885182
"CT","Female","SSA",2020,0.0706118856459362,0.0481184074082382,0.0931053638836342
"CT","Male","SSA",2020,0.0354881279338848,0.0212082852317452,0.0497679706360245
"NG","Female","SSA",2020,0.0209224930964808,0.0125239634843473,0.0293210227086143
"NG","Male","SSA",2020,0.0214740437959194,0.00506627127884427,0.0378818163129944
"TV","Female","SSA",2020,0.114462787519963,0.0684624800016833,0.160463095038243
"TV","Male","SSA",2020,0.0364303338630698,0.0153236422572869,0.0575370254688526
