"sti","sex","region","year","prev","lwr","upr"
"CT","Female","Eastern",2020,0.116766645911187,0.0886519547091096,0.15379750668879
"CT","Female","Southern",2020,0.182452852983276,0.138681394533249,0.240039723235951
"CT","Female","Western and Central",2020,0.0439708200797472,0.0272942145374301,0.0708367341303803
"CT","Male","Eastern",2020,0.0555037109489254,0.0408483148505033,0.0754171118288839
"CT","Male","Southern",2020,0.113523964593731,0.0846328670090875,0.152277607890737
"CT","Male","Western and Central",2020,0.0290076119155554,0.0133472215475858,0.0630424501491602
"NG","Female","Eastern",2020,0.0282650318258497,0.0191580431821816,0.041701128686219
"NG","Female","Southern",2020,0.0392630647999949,0.0265349915157969,0.058096429259111
"NG","Female","Western and Central",2020,0.0181446672280946,0.0095609856089105,0.0344346244503768
"NG","Male","Eastern",2020,0.0154219482125782,0.00965202363360101,0.0246411007369977
"NG","Male","Southern",2020,0.0309152000337489,0.0199192164692648,0.0479812845350328
"NG","Male","Western and Central",2020,0.017741593980199,0.00659265810827962,0.0477446504563808
"TV","Female","Eastern",2020,0.0910322626377359,0.0575419948660497,0.144014347438536
"TV","Female","Southern",2020,0.0776896294493911,0.0491053190816286,0.122912927496724
"TV","Female","Western and Central",2020,0.107056014457767,0.0670579805184403,0.170911652020745
"TV","Male","Eastern",2020,0.0276428396345267,0.0160114335246788,0.0477238082325604
"TV","Male","Southern",2020,0.0108370916741776,0.00622116621933006,0.0188779003508407
"TV","Male","Western and Central",2020,0.00440468926704014,0.000570182104996307,0.034026475698153
"CT","Female","SSA",2020,0.0835104261364972,0.0631466824779104,0.103874169795084
"CT","Male","SSA",2020,0.0455917417819615,0.0304824203859958,0.0607010631779273
"NG","Female","SSA",2020,0.0237674228658881,0.0153156824404186,0.0322191632913575
"NG","Male","SSA",2020,0.0176969765386706,0.00756772400352521,0.0278262290738159
"TV","Female","SSA",2020,0.0984278382257001,0.0652967349515191,0.131558941499881
"TV","Male","SSA",2020,0.0143192118401205,0.00641264076147623,0.0222257829187648
