"sti","sex","region","year","prev","lwr","upr"
"CT","Female","Eastern",2020,0.116990016651949,0.0883249082897518,0.154958145570034
"CT","Female","Southern",2020,0.182457338619577,0.13776360708692,0.24165076045907
"CT","Female","Western and Central",2020,0.0447868084683759,0.027588880647011,0.0727053133632769
"NG","Female","Eastern",2020,0.0275831014512908,0.0186273286574334,0.0408446911344201
"NG","Female","Southern",2020,0.0390657682924943,0.026290625502188,0.0580486094617964
"NG","Female","Western and Central",2020,0.0172586680276012,0.00901375834423171,0.0330452193981392
"TV","Female","Eastern",2020,0.0910855228562445,0.0574180613061342,0.14449412406596
"TV","Female","Southern",2020,0.0779259667109002,0.0491156446511377,0.123635886914653
"TV","Female","Western and Central",2020,0.106764645121597,0.0666636067308285,0.170988189912461
"CT","Female","SSA",2020,0.084025823273298,0.0631254999673039,0.104926146579292
"NG","Female","SSA",2020,0.0230125232926325,0.0147948957266338,0.0312301508586311
"TV","Female","SSA",2020,0.0983150349823856,0.0650171847949703,0.131612885169801
