"sti","sex","region","year","prev","lwr","upr"
"CT","Female","EA",2020,0.0967035393298242,0.0741973666106709,0.126036474690329
"CT","Female","SA",2020,0.168566770990311,0.129169944442273,0.21997962765091
"CT","Female","WCA",2020,0.0464141663213671,0.0296799137222165,0.0725835949346096
"CT","Male","EA",2020,0.0589784455461032,0.0435133155302649,0.0799400596494488
"CT","Male","SA",2020,0.103133216355893,0.0780324260793062,0.136308209937
"CT","Male","WCA",2020,0.0255199623234606,0.0130149947920302,0.0500398569033358
"NG","Female","EA",2020,0.0293223731854807,0.0198920303864253,0.0432234192551474
"NG","Female","SA",2020,0.0466607625699913,0.03156300445805,0.0689803395144724
"NG","Female","WCA",2020,0.0176596745248158,0.00855844479900393,0.0364393428533563
"NG","Male","EA",2020,0.0203826159001053,0.0130314940174651,0.0318805372871621
"NG","Male","SA",2020,0.037432332970462,0.0246173751363158,0.0569183165895092
"NG","Male","WCA",2020,0.0198883934845069,0.00753354098412213,0.052504950358436
"TV","Female","EA",2020,0.0548814764691643,0.0257264336938805,0.117077108132243
"TV","Female","SA",2020,0.105521635537046,0.0609921049132189,0.182561588622922
"TV","Female","WCA",2020,0.0521541342256823,0.0212899284468242,0.127762464003783
"TV","Male","EA",2020,0.0211701375481671,0.00964907333302704,0.0464474367993758
"TV","Male","SA",2020,0.0156291560998716,0.00835185422757947,0.0292474597542092
"TV","Male","WCA",2020,0.00231547843643074,0.000262002244202813,0.0204633376553276
"CT","Female","SSA",2020,0.0756060222240183,0.0567117310139631,0.0945003134340735
"CT","Male","SSA",2020,0.0444209762243145,0.0308885579193054,0.0579533945293236
"NG","Female","SSA",2020,0.0244772225504725,0.0148118773727512,0.0341425677281939
"NG","Male","SSA",2020,0.0213173666208714,0.00954335685595969,0.0330913763857832
"TV","Female","SSA",2020,0.0570468472671727,0.0255343073694134,0.088559387164932
"TV","Male","SSA",2020,0.0108333942988494,0.00344301904437316,0.0182237695533257
