"sti","sex","region","year","prev","lwr","upr"
"CT","Female","EA",2020,0.0854777194626141,0.0656209645609866,0.111343083318121
"CT","Female","SA",2020,0.146793414177935,0.112529842722119,0.191489705528392
"CT","Female","WCA",2020,0.0397653755098084,0.0255031298542541,0.0620035696980266
"CT","Male","EA",2020,0.0626064155101793,0.0467255451139945,0.083884805484255
"CT","Male","SA",2020,0.0941096710641671,0.0713523359202127,0.124125301205406
"CT","Male","WCA",2020,0.0294452257190856,0.0162797871684751,0.0532575339391929
"NG","Female","EA",2020,0.0287785389554839,0.0192735428080114,0.0429710465098326
"NG","Female","SA",2020,0.044914388442507,0.0300116382422657,0.0672173332518521
"NG","Female","WCA",2020,0.0167382648367167,0.00801567488880781,0.0349527037499067
"NG","Male","EA",2020,0.0163905134951458,0.010456112622879,0.0256930029662005
"NG","Male","SA",2020,0.0279519673230251,0.0182152217272947,0.0428933827391573
"NG","Male","WCA",2020,0.0150386400142548,0.0056588474128016,0.0399658582358517
"TV","Female","EA",2020,0.0640820093561159,0.0340178395658978,0.120716188197737
"TV","Female","SA",2020,0.118570854078909,0.0745182476034602,0.188665835404713
"TV","Female","WCA",2020,0.0633300979070226,0.0297400842245694,0.134858437878925
"TV","Male","EA",2020,0.0369655115200555,0.0192432287229647,0.0710093436819492
"TV","Male","SA",2020,0.0304982918881322,0.0186592232619989,0.0498491172453054
"TV","Male","WCA",2020,9.76993110132180e-11,0,Inf
"CT","Female","SSA",2020,0.0660166598456529,0.0496018671986224,0.0824314524926835
"CT","Male","SSA",2020,0.0473186897119037,0.0335233247202389,0.0611140547035685
"NG","Female","SSA",2020,0.0236516407578098,0.0140935314594486,0.033209750056171
"NG","Male","SSA",2020,0.016487911431119,0.00740137216088517,0.0255744507013527
"TV","Female","SSA",2020,0.0675484874313105,0.0358617039808609,0.0992352708817601
"TV","Male","SSA",2020,0.0170080599121891,0.00710174048959046,0.0269143793347878
