"sti","sex","region","year","prev","lwr","upr"
"CT","Female","Eastern",2020,0.0990882892622129,0.0765359341779504,0.128286002834739
"CT","Female","Southern",2020,0.156747275019814,0.121169554068521,0.202771301875413
"CT","Female","Western and Central",2020,0.0380904056039027,0.0243560879977279,0.0595694595620269
"CT","Male","Eastern",2020,0.0513919562194916,0.0386191105254054,0.0683892800257189
"CT","Male","Southern",2020,0.1006200025852,0.0764275877452224,0.132470292716764
"CT","Male","Western and Central",2020,0.0330851776252305,0.0172133002901561,0.0635920456880103
"NG","Female","Eastern",2020,0.0268406829472528,0.0177921082686502,0.0404911126999119
"NG","Female","Southern",2020,0.0372147489458645,0.0246386913891168,0.0562098659068991
"NG","Female","Western and Central",2020,0.0151873580342895,0.00766545969758454,0.030090282013273
"NG","Male","Eastern",2020,0.0126384328763772,0.00779268905677455,0.0204974155143316
"NG","Male","Southern",2020,0.021193747003872,0.013468435991889,0.0333501909453062
"NG","Male","Western and Central",2020,0.0112724009726983,0.00408347862226352,0.0311173475958729
"TV","Female","Eastern",2020,0.0708140635186807,0.048013365332224,0.104442410094137
"TV","Female","Southern",2020,0.0831694103490679,0.0563435907338374,0.122767305521718
"TV","Female","Western and Central",2020,0.0676056811606273,0.0449676886434382,0.101640272450591
"TV","Male","Eastern",2020,0.0375429525322,0.02397332329265,0.0587934041363032
"TV","Male","Southern",2020,0.0213431453425773,0.0140126372907633,0.0325085024083688
"TV","Male","Western and Central",2020,1.51118468937019e-10,0,Inf
"CT","Female","SSA",2020,0.0713983956985342,0.0550943345556743,0.087702456841394
"CT","Male","SSA",2020,0.0451687941517789,0.0311675253777848,0.059170062925773
"NG","Female","SSA",2020,0.0215074353463781,0.0134887067379634,0.0295261639547927
"NG","Male","SSA",2020,0.0125080162396393,0.00562297826238069,0.0193930542168979
"TV","Female","SSA",2020,0.0699861113793698,0.0501539027557389,0.0898183200030006
"TV","Male","SSA",2020,0.0167667518691808,0.00970499206880064,0.023828511669561
