"sti","sex","region","year","prev","lwr","upr"
"CT","Female","EA",2000,0.023141767730329,0.0163819002638139,0.0326910434723779
"CT","Female","EA",2001,0.024792168515691,0.0178222139676075,0.0344879497478579
"CT","Female","EA",2002,0.0265602708865181,0.0193772555144972,0.0364059806631251
"CT","Female","EA",2003,0.0284544689634043,0.0210531402988402,0.0384577688884703
"CT","Female","EA",2004,0.0304837555102014,0.0228554976900741,0.0406580229670214
"CT","Female","EA",2005,0.0326577646274429,0.0247892308316901,0.043023908152004
"CT","Female","EA",2006,0.0349868174905334,0.026858256758255,0.0455754596857694
"CT","Female","EA",2007,0.0374819713498481,0.0290652532485575,0.0483360032770592
"CT","Female","EA",2008,0.0401550720253696,0.0314114546379465,0.0513325418369746
"CT","Female","EA",2009,0.0430188101450848,0.0338965533087541,0.0545960531574434
"CT","Female","EA",2010,0.0460867813941324,0.0365187689660479,0.0581616379578747
"CT","Female","EA",2011,0.0493735510607382,0.0392751340953582,0.0620684715786987
"CT","Female","EA",2012,0.0528947231853707,0.0421620045023071,0.0663595522528796
"CT","Female","EA",2013,0.0566670146414046,0.045175743478591,0.071081299412171
"CT","Female","EA",2014,0.0607083344989937,0.0483134681082556,0.0762831157014775
"CT","Female","EA",2015,0.0650378690489342,0.0515737165104921,0.0820170562958322
"CT","Female","EA",2016,0.0696761728901726,0.0549569148896114,0.0883377292625087
"CT","Female","EA",2017,0.0746452665133988,0.058465585782866,0.0953024884339609
"CT","Female","EA",2018,0.0799687408440055,0.0621043131385854,0.102971906281377
"CT","Female","EA",2019,0.085671869240735,0.0658795332001376,0.111410461226314
"CT","Female","EA",2020,0.0917817274817298,0.0697992378501014,0.120687356466863
"CT","Female","EA",2021,0.0983273223076258,0.0738726649973625,0.13087739981403
"CT","Female","EA",2022,0.105339729131948,0.0781100245737751,0.1420619004301
"CT","Female","EA",2023,0.112852239572598,0.0825222827353318,0.154329564747951
"CT","Female","EA",2024,0.120900519504834,0.0871210080518077,0.167777393115638
"CT","Female","SA",2000,0.113138486432497,0.0785937370083602,0.162866884811377
"CT","Female","SA",2001,0.115141395350245,0.0813293641738908,0.163010507433149
"CT","Female","SA",2002,0.117179762088397,0.0841098542788369,0.163251937134177
"CT","Female","SA",2003,0.119254214362482,0.0869254240151842,0.163606537492744
"CT","Female","SA",2004,0.121365391000577,0.0897638269621705,0.164092359151871
"CT","Female","SA",2005,0.123513942140034,0.0926100288077014,0.164730473571595
"CT","Female","SA",2006,0.125700529427695,0.095445956080218,0.165545233630675
"CT","Female","SA",2007,0.127925826223641,0.098250401537444,0.166564377945715
"CT","Female","SA",2008,0.130190517808555,0.100999197062882,0.167818868071861
"CT","Female","SA",2009,0.132495301594756,0.10366577910705,0.169342333563685
"CT","Female","SA",2010,0.134840887340966,0.106222251131494,0.171170020454483
"CT","Female","SA",2011,0.13722799737088,0.108640969296435,0.173337216930005
"CT","Female","SA",2012,0.139657366795605,0.110896534738356,0.175877272867899
"CT","Female","SA",2013,0.142129743740042,0.112967900270199,0.178819505428472
"CT","Female","SA",2014,0.144645889573264,0.114840169691759,0.182187412528198
"CT","Female","SA",2015,0.147206579142986,0.116505674520355,0.185997609405662
"CT","Female","SA",2016,0.149812601014178,0.117964089020956,0.190259727421337
"CT","Female","SA",2017,0.152464757711902,0.119221621179676,0.194977237468666
"CT","Female","SA",2018,0.155163865968451,0.120289560813441,0.200148916825917
"CT","Female","SA",2019,0.157910756974863,0.121182571723743,0.205770572564013
"CT","Female","SA",2020,0.160706276636884,0.121917070845058,0.211836678583862
"CT","Female","SA",2021,0.163551285835466,0.12250990761879,0.218341713077347
"CT","Female","SA",2022,0.166446660691876,0.122977419407469,0.225281120623304
"CT","Female","SA",2023,0.169393292837499,0.123334840875862,0.232651921018909
"CT","Female","SA",2024,0.172392089688413,0.123595996728117,0.240453035485549
"CT","Female","WCA",2000,0.0494955757874858,0.0278379011398803,0.0880027560348352
"CT","Female","WCA",2001,0.0489210038729013,0.0283696213720811,0.0843601184712203
"CT","Female","WCA",2002,0.0483531019056764,0.0288814175386313,0.0809524830550104
"CT","Female","WCA",2003,0.047791792457387,0.0293662883506284,0.077778144756284
"CT","Female","WCA",2004,0.047236998998441,0.0298158011741549,0.0748373005758067
"CT","Female","WCA",2005,0.046688645887644,0.0302199282045972,0.072132191713487
"CT","Female","WCA",2006,0.0461466583618862,0.030566972673548,0.069667156794087
"CT","Female","WCA",2007,0.0456109625259492,0.0308436776908685,0.0674485034954004
"CT","Female","WCA",2008,0.045081485342431,0.031035643031077,0.0654840732200963
"CT","Female","WCA",2009,0.0445581546217879,0.0311281828118035,0.0637823658163014
"CT","Female","WCA",2010,0.0440408990124923,0.0311076989691347,0.0623511493972291
"CT","Female","WCA",2011,0.0435296479913046,0.0309634833431493,0.0611956424039133
"CT","Female","WCA",2012,0.0430243318536576,0.030689610313809,0.0603166059303379
"CT","Female","WCA",2013,0.0425248817041531,0.0302863645463988,0.0597089017132376
