"sti","sex","region","year","prev","lwr","upr"
"CT","Female","EA",2000,0.0181001632321723,0.011938303972057,0.0274424164268313
"CT","Female","EA",2001,0.0195428099959128,0.0130726463880853,0.029215310442761
"CT","Female","EA",2002,0.0211004407881527,0.0143040802375248,0.0311259860166571
"CT","Female","EA",2003,0.0227822202409712,0.0156385829445645,0.0331890402696952
"CT","Female","EA",2004,0.0245980434399047,0.0170820089556152,0.0354211113367051
"CT","Female","EA",2005,0.0265585941436604,0.0186399895856128,0.0378411650740459
"CT","Female","EA",2006,0.0286754076441457,0.0203178351028513,0.0404707981630649
"CT","Female","EA",2007,0.0309609386366639,0.0221204503174408,0.0433345482350998
"CT","Female","EA",2008,0.0334286344996029,0.0240522774470155,0.046460199329137
"CT","Female","EA",2009,0.036093014414774,0.0261172808343334,0.0498790704058505
"CT","Female","EA",2010,0.0389697547939195,0.0283189860785107,0.0536262768902806
"CT","Female","EA",2011,0.0420757815140147,0.0306605806307785,0.0577409609861699
"CT","Female","EA",2012,0.0454293695040476,0.0331450742035231,0.0622664954937984
"CT","Female","EA",2013,0.0490502502692163,0.0357755070905248,0.0672506764302432
"CT","Female","EA",2014,0.0529597279851837,0.0385551854295915,0.07274592916656
"CT","Female","EA",2015,0.0571808048454522,0.0414879174271243,0.0788095581928639
"CT","Female","EA",2016,0.0617383163993671,0.0445782253351686,0.0855040702757924
"CT","Female","EA",2017,0.0666590776770348,0.0478315142390444,0.0928975949736047
"CT","Female","EA",2018,0.0719720409609113,0.0512541883000084,0.101064417404465
"CT","Female","EA",2019,0.0777084661323433,0.0548537149847925,0.110085628846026
"CT","Female","EA",2020,0.0839021045953271,0.0586386454559416,0.120049893731164
"CT","Female","EA",2021,0.09058939785964,0.0626186034504872,0.131054328144846
"CT","Female","EA",2022,0.0978096919517464,0.0668042557565475,0.143205484910411
"CT","Female","EA",2023,0.105605468915008,0.0712072757848281,0.156620442810635
"CT","Female","SA",2000,0.0900259565395997,0.0594880057830994,0.136240452914501
"CT","Female","SA",2001,0.0921746739212571,0.0618309253388075,0.137409726054311
"CT","Female","SA",2002,0.0943746763607322,0.0642135560268077,0.138702481053606
"CT","Female","SA",2003,0.0966271879171675,0.0666271966990395,0.140135168630233
"CT","Female","SA",2004,0.0989334618652478,0.0690615288772458,0.14172622639212
"CT","Female","SA",2005,0.10129478139251,0.0715046077499255,0.143496105499118
"CT","Female","SA",2006,0.103712460313294,0.0739429559979201,0.145467195340949
"CT","Female","SA",2007,0.10618784379974,0.0763617911247971,0.147663615595528
"CT","Female","SA",2008,0.108722309130224,0.0787454088265548,0.150110853175503
"CT","Female","SA",2009,0.111317266455662,0.0810777268097111,0.152835239698366
"CT","Female","SA",2010,0.113974159584108,0.0833429654262482,0.155863293158185
"CT","Female","SA",2011,0.11669446678407,0.0855264079613471,0.15922098101177
"CT","Female","SA",2012,0.119479701607006,0.0876151536188423,0.16293299168546
"CT","Female","SA",2013,0.122331413729446,0.0895987618228995,0.167022115937545
"CT","Female","SA",2014,0.125251189815219,0.0914696961450226,0.171508829823325
"CT","Female","SA",2015,0.128240654398256,0.0932235103566405,0.176411136821363
"CT","Female","SA",2016,0.131301470786466,0.0948587680574684,0.181744677732316
"CT","Female","SA",2017,0.134435341987178,0.0963767352130596,0.187523069081517
"CT","Female","SA",2018,0.137644011654685,0.0977809174542547,0.193758398240215
"CT","Female","SA",2019,0.140929265060389,0.0990765245736454,0.200461792901287
"CT","Female","SA",2020,0.144292930086111,0.100269935666161,0.207643991536557
"CT","Female","SA",2021,0.147736878241107,0.101368217752979,0.215315862074396
"CT","Female","SA",2022,0.151263025703354,0.102378727254205,0.223488839513717
"CT","Female","SA",2023,0.154873334385694,0.103308803574389,0.232175273295771
"CT","Female","WCA",2000,0.0473442284972776,0.026062343583834,0.0860043903877002
"CT","Female","WCA",2001,0.0467200423799143,0.0264525135585728,0.0825162552189144
"CT","Female","WCA",2002,0.0461040855298022,0.0268114129278909,0.0792791751876736
"CT","Female","WCA",2003,0.0454962494523152,0.0271317908413283,0.0762908989801853
"CT","Female","WCA",2004,0.0448964270832198,0.0274054613468074,0.0735506379305557
"CT","Female","WCA",2005,0.0443045127698168,0.0276234052428392,0.0710589384080262
"CT","Female","WCA",2006,0.043720402252332,0.0277760172367722,0.0688174102432204
"CT","Female","WCA",2007,0.0431439926455514,0.0278535457161948,0.0668282638183877
"CT","Female","WCA",2008,0.0425751824206994,0.0278467524740237,0.0650936284166969
"CT","Female","WCA",2009,0.0420138713875555,0.0277477711666316,0.0636146729901237
"CT","Female","WCA",2010,0.0414599606768062,0.0275510670108106,0.0623906267821801
"CT","Female","WCA",2011,0.0409133527226312,0.0272543183817866,0.0614178790882939
"CT","Female","WCA",2012,0.0403739512455172,0.0268589977639714,0.060689380650009
"CT","Female","WCA",2013,0.0398416612352997,0.0263704687304068,0.0601945299575984
"CT","Female","WCA",2014,0.0393163889344279,0.0257975421759616,0.0599196011891232
"CT","Female","WCA",2015,0.0387980418214501,0.0251515960208345,0.0598486095249014
"CT","Female","WCA",2016,0.038286528594717,0.0244454778066998,0.0599643943728656
"CT","Female","WCA",2017,0.0377817591563,0.0236924295518009,0.060249681098499
"CT","Female","WCA",2018,0.0372836445961212,0.0229052101268302,0.0606879459595791
"CT","Female","WCA",2019,0.0367920971762927,0.0220954927681933,0.0612640065931624
"CT","Female","WCA",2020,0.0363070303156627,0.0212735320179726,0.061964343731393
"CT","Female","WCA",2021,0.0358283585745649,0.0204480468748707,0.0627772073295246
"CT","Female","WCA",2022,0.0353559976397691,0.01962625284142,0.0636925743902174
"CT","Female","WCA",2023,0.0348898643096306,0.0188139821012667,0.0647020192212514
"CT","Male","EA",2000,0.0111130533578345,0.00720002918878771,0.0171527019815972
"CT","Male","EA",2001,0.0119988028539197,0.00787611803653732,0.0182794708331373
"CT","Male","EA",2002,0.0129551497047149,0.00860898794735314,0.0194954279060382
"CT","Male","EA",2003,0.0139877207680555,0.00940204964422188,0.0208099658785925
"CT","Male","EA",2004,0.0151025913821654,0.0102586630305841,0.0222337224428424
"CT","Male","EA",2005,0.0163063211111244,0.011182094498546,0.0237787391453073
"CT","Male","EA",2006,0.0176059923393741,0.0121754780273656,0.0254586280355818
"CT","Male","EA",2007,0.0190092519423424,0.0132417850002124,0.0272887423713383
"CT","Male","EA",2008,0.0205243562783632,0.0143838081603319,0.0292863472555843
"CT","Male","EA",2009,0.0221602197666112,0.0156041648320051,0.0314707865106167
"CT","Male","EA",2010,0.0239264673368683,0.0169053231952397,0.0338636435760912
"CT","Male","EA",2011,0.025833491059722,0.0182896529896699,0.0364888967937046
"CT","Male","EA",2012,0.0278925112903896,0.0197594988256473,0.0393730728167405
"CT","Male","EA",2013,0.0301156426859205,0.02131727093051,0.0425454054293591
"CT","Male","EA",2014,0.0325159654842026,0.0229655454769624,0.0460380099584596
"CT","Male","EA",2015,0.0351076024641556,0.0247071653600012,0.0498860849806983
"CT","Male","EA",2016,0.0379058020399241,0.0265453327599685,0.0541281528200221
"CT","Male","EA",2017,0.040927027977969,0.0284836868747796,0.0588063485767561
"CT","Male","EA",2018,0.0441890562649288,0.0305263631985048,0.06396676475633
"CT","Male","EA",2019,0.0477110796961892,0.032678033854576,0.0696598557889479
"CT","Male","EA",2020,0.0515138208005309,0.0349439310622091,0.0759409045520663
"CT","Male","EA",2021,0.0556196537652691,0.0373298574356072,0.0828705518177957
"CT","Male","EA",2022,0.0600527360792569,0.0398421874396412,0.0905153893989453
"CT","Male","EA",2023,0.0648391506682986,0.0424878641515545,0.0989486184664455
"CT","Male","SA",2000,0.0545109955568562,0.0358753659826165,0.0828269915919301
"CT","Male","SA",2001,0.055812050587501,0.0372816462824089,0.0835527746598348
"CT","Male","SA",2002,0.0571441588795196,0.0387111885659421,0.0843542917439819
"CT","Male","SA",2003,0.0585080616045143,0.0401587896115466,0.085241445417802
"CT","Male","SA",2004,0.059904517624189,0.0416183106430374,0.0862252978638652
"CT","Male","SA",2005,0.0613343039125721,0.0430826796523844,0.0873180792558143
"CT","Male","SA",2006,0.0627982159883169,0.0445439534808936,0.0885331368938065
"CT","Male","SA",2007,0.0642970683573202,0.0459934560409722,0.0898848087359021
"CT","Male","SA",2008,0.0658316949659052,0.0474220040115874,0.0913882100179704
"CT","Male","SA",2009,0.0674029496648206,0.0488202209418598,0.0930589320545846
"CT","Male","SA",2010,0.0690117066843149,0.0501789252182478,0.0949126677936493
"CT","Male","SA",2011,0.0706588611205491,0.0514895593571803,0.0969647966924543
"CT","Male","SA",2012,0.0723453294336189,0.0527446125420961,0.0992299770271636
"CT","Male","SA",2013,0.0740720499574643,0.0539379812372282,0.101721800835849
"CT","Male","SA",2014,0.0758399834219489,0.0550652184230906,0.104452560984115
"CT","Male","SA",2015,0.0776501134874002,0.0561236404928808,0.107433161349734
"CT","Male","SA",2016,0.0795034472919087,0.0571122869815849,0.110673174991843
"CT","Male","SA",2017,0.0814010160116885,0.0580317538926411,0.11418102957897
"CT","Male","SA",2018,0.0833438754348143,0.0588839390404919,0.117964281698567
"CT","Male","SA",2019,0.0853331065486509,0.0596717440280479,0.122029935471984
"CT","Male","SA",2020,0.0873698161413032,0.0603987732694895,0.126384765109479
"CT","Male","SA",2021,0.0894551374174225,0.061069059841014,0.13103561166985
"CT","Male","SA",2022,0.09159023062871,0.0616868354425079,0.135989636791121
"CT","Male","SA",2023,0.0937762837194688,0.0622563507508974,0.14125452716336
"CT","Male","WCA",2000,0.0294119948427979,0.0146733508654295,0.05895486644914
"CT","Male","WCA",2001,0.0290242272215367,0.0148147469776316,0.0568626495666326
"CT","Male","WCA",2002,0.0286415719270287,0.0149341236582842,0.0549305510803173
