"sti","sex","region","year","prev","lwr","upr"
"CT","Female","EA",2000,0.0203126923851983,0.0133662220272897,0.0308692666554005
"CT","Female","EA",2001,0.0219316855156181,0.0145865119985067,0.0329755893393305
"CT","Female","EA",2002,0.0236797181011057,0.0159032275769437,0.0352588206786887
"CT","Female","EA",2003,0.0255670750407453,0.0173212585286768,0.0377383274464084
"CT","Female","EA",2004,0.0276048609763043,0.0188453327716529,0.0404359190020422
"CT","Female","EA",2005,0.029805065628613,0.0204799861732551,0.0433761004334084
"CT","Female","EA",2006,0.0321806343414833,0.0222295527220277,0.0465863276499515
"CT","Female","EA",2007,0.034745544248226,0.0240981805182009,0.0500972612514714
"CT","Female","EA",2008,0.0375148865089085,0.0260898769450645,0.0539430183108827
"CT","Female","EA",2009,0.0405049551022113,0.0282085832528707,0.058161424596366
"CT","Female","EA",2010,0.0437333426943075,0.0304582750785598,0.0627942737494042
"CT","Female","EA",2011,0.0472190441488312,0.0328430818903529,0.0678876037813061
"CT","Female","EA",2012,0.0509825682869534,0.035367415818386,0.0734920041226943
"CT","Female","EA",2013,0.0550460585551309,0.0380360994423548,0.0796629677300923
"CT","Female","EA",2014,0.0594334233104984,0.0408544830497912,0.0864613022296692
"CT","Female","EA",2015,0.064170476490467,0.0438285443425285,0.0939536120759976
"CT","Female","EA",2016,0.0692850894941836,0.0469649668663701,0.102212860915578
"CT","Female","EA",2017,0.0748073551694784,0.0502711967674568,0.111319020578304
"CT","Female","EA",2018,0.0807697648701497,0.0537554801835223,0.121359811035211
"CT","Female","EA",2019,0.0872073996253376,0.0574268853069194,0.132431534616017
"CT","Female","EA",2020,0.0941581365457705,0.0612953138729317,0.144640007817745
"CT","Female","EA",2021,0.101662871681316,0.0653715067215903,0.158101594973309
"CT","Female","EA",2022,0.109765760641065,0.0696670474444653,0.172944349603965
"CT","Female","EA",2023,0.118514478391681,0.074194367244789,0.189309271175687
"CT","Female","SA",2000,0.101030556377621,0.0661873234577352,0.154216438869741
"CT","Female","SA",2001,0.103441928840757,0.0685686085669082,0.156051476994099
"CT","Female","SA",2002,0.105910855348575,0.0709640697433831,0.158067446261603
"CT","Female","SA",2003,0.108438709586854,0.0733631969712341,0.16028409641789
"CT","Female","SA",2004,0.111026898028165,0.0757545354855265,0.162722561847292
"CT","Female","SA",2005,0.113676860714422,0.0781259116932965,0.165405156647855
"CT","Female","SA",2006,0.116390072058107,0.0804647439241812,0.168355085880294
"CT","Female","SA",2007,0.119168041662614,0.0827584287830211,0.171596082266558
"CT","Female","SA",2008,0.122012315162178,0.0849947807514191,0.175151990741338
"CT","Female","SA",2009,0.124924475081855,0.087162490086164,0.179046335861329
"CT","Female","SA",2010,0.127906141718018,0.0892515554150633,0.183301915726935
"CT","Female","SA",2011,0.130958974039876,0.0912536459053282,0.187940467599174
"CT","Female","SA",2012,0.134084670612505,0.0931623550393753,0.192982443237563
"CT","Female","SA",2013,0.137284970541917,0.0949733228854203,0.198446917135172
"CT","Female","SA",2014,0.140561654442676,0.0966842228285166,0.204351631751801
"CT","Female","SA",2015,0.143916545428617,0.0982946272999074,0.210713165277211
"CT","Female","SA",2016,0.14735151012721,0.0998057808719472,0.217547193630264
"CT","Female","SA",2017,0.150868459718126,0.101220315840159,0.224868811649068
"CT","Female","SA",2018,0.154469350996605,0.102541945099218,0.232692878745622
"CT","Female","SA",2019,0.158156187462194,0.103775161533689,0.241034359888292
"CT","Female","SA",2020,0.161931020433474,0.104924964837896,0.249908641085916
"CT","Female","SA",2021,0.165795950189393,0.105996627997305,0.25933180723355
"CT","Female","SA",2022,0.169753127137839,0.106995508201514,0.269320877646595
"CT","Female","SA",2023,0.173804753012109,0.107926901460544,0.279894000113066
"CT","Female","WCA",2000,0.0531314959618916,0.0287706104731492,0.0981194287060084
"CT","Female","WCA",2001,0.0524310105336399,0.0291599020392667,0.0942736660046678
"CT","Female","WCA",2002,0.0517397603024463,0.0295109200225255,0.0907122785094892
"CT","Female","WCA",2003,0.0510576235115099,0.029815974047788,0.0874323580529305
