"sti","sex","region","year","prev","lwr","upr"
"CT","Female","Eastern",2005,0.0182124333166987,0.0117450248711543,0.0282411260047506
"CT","Female","Eastern",2006,0.0206167378811715,0.0136801836450785,0.0310704806228127
"CT","Female","Eastern",2007,0.0233384454163633,0.0159185320685232,0.034216913475936
"CT","Female","Eastern",2008,0.0264194577043156,0.0185007014703669,0.0377276367876164
"CT","Female","Eastern",2009,0.029907208168233,0.0214695084472824,0.0416609957612346
"CT","Female","Eastern",2010,0.0338553921291094,0.0248683751564557,0.0460901674920332
"CT","Female","Eastern",2011,0.0383247934667878,0.0287389198799711,0.051108037476926
"CT","Female","Eastern",2012,0.0433842204122354,0.0331177596815739,0.0568332700905682
"CT","Female","Eastern",2013,0.0491115648779301,0.0380330284489677,0.0634171377647578
"CT","Female","Eastern",2014,0.0555950016351778,0.0435018497917337,0.0710499489472914
"CT","Female","Eastern",2015,0.0629343458001757,0.0495306320532935,0.0799653006049764
"CT","Female","Eastern",2016,0.0712425895278676,0.0561196659891458,0.0904407835146042
"CT","Female","Eastern",2017,0.0806476415716084,0.0632714517405117,0.102795840970062
"CT","Female","Eastern",2018,0.0912942964898611,0.0709995892532026,0.117390095622317
"CT","Female","Eastern",2019,0.103346463816653,0.0793345209744361,0.134626029781518
"CT","Female","Eastern",2020,0.116989691514771,0.0883246998640267,0.154957649918894
"CT","Female","Eastern",2021,0.132434022561261,0.098034507442825,0.178904049086852
"CT","Female","Eastern",2022,0.149917228643535,0.108541175991509,0.20706589217272
"CT","Female","Eastern",2023,0.169708470750117,0.119932257670766,0.240143607764032
"CT","Female","Southern",2005,0.0756980928441881,0.048859605094688,0.11727891064904
"CT","Female","Southern",2006,0.080270643314926,0.0532592246510616,0.1209814115847
"CT","Female","Southern",2007,0.0851193991301035,0.0579985026203887,0.12492239938834
"CT","Female","Southern",2008,0.0902610444997222,0.0630843380910424,0.129145464638515
"CT","Female","Southern",2009,0.0957132714450697,0.068515872558286,0.133706687058891
"CT","Female","Southern",2010,0.101494840675656,0.0742812983295655,0.138678279936266
"CT","Female","Southern",2011,0.107625646143426,0.0803542188012185,0.144152726273712
"CT","Female","Southern",2012,0.114126783496379,0.0866902006471943,0.15024677084596
"CT","Female","Southern",2013,0.121020622667127,0.0932248469539921,0.157103943736878
"CT","Female","Southern",2014,0.128330884846183,0.0998754088802064,0.164893602840289
"CT","Female","Southern",2015,0.136082724104821,0.106547891116676,0.173804545596403
"CT","Female","Southern",2016,0.144302813948374,0.113149794778624,0.184033052416574
"CT","Female","Southern",2017,0.153019439097789,0.119605177252486,0.195768688945406
"CT","Female","Southern",2018,0.162262592815266,0.125866094007622,0.209183809466102
"CT","Female","Southern",2019,0.172064080108847,0.1319158114943,0.224431380350359
"CT","Female","Southern",2020,0.182457627171099,0.13776388343904,0.241651040039379
"CT","Female","Southern",2021,0.193478997428447,0.143437055429892,0.260979440310763
"CT","Female","Southern",2022,0.205166114600479,0.148970304687945,0.282560572514308
"CT","Female","Southern",2023,0.217559193192655,0.154400319863421,0.306553785539484
"CT","Female","Western and Central",2005,0.0277988578786262,0.0105205709626267,0.0734538555085339
"CT","Female","Western and Central",2006,0.0286969151293832,0.0116740859693081,0.070541962780477
"CT","Female","Western and Central",2007,0.0296239846089576,0.0129375299325451,0.0678321494665034
"CT","Female","Western and Central",2008,0.0305810035732095,0.0143142644300907,0.0653332753570439
"CT","Female","Western and Central",2009,0.0315689395565602,0.0158038227031381,0.063060562209918
"CT","Female","Western and Central",2010,0.0325887913501577,0.0173993699437825,0.0610383781191812
"CT","Female","Western and Central",2011,0.0336415900116422,0.0190838734757603,0.0593043430071441
"CT","Female","Western and Central",2012,0.0347283999075329,0.0208246566872832,0.05791508490385
"CT","Female","Western and Central",2013,0.0358503197892893,0.0225666323023912,0.0569533553687636
"CT","Female","Western and Central",2014,0.0370084839041353,0.0242265469357808,0.0565341765177356
"CT","Female","Western and Central",2015,0.0382040631417696,0.0256946989861925,0.0568035625295564
"CT","Female","Western and Central",2016,0.0394382662181206,0.0268538222440678,0.057920128768073
"CT","Female","Western and Central",2017,0.0407123408973433,0.0276165387459707,0.0600181911494367
"CT","Female","Western and Central",2018,0.0420275752532937,0.0279594096973854,0.0631743338213768
"CT","Female","Western and Central",2019,0.0433852989717554,0.0279242547133249,0.0674067826050308
"CT","Female","Western and Central",2020,0.0447868846947358,0.0275889474930649,0.0727053846894226
"CT","Female","Western and Central",2021,0.0462337494081905,0.0270357731381574,0.0790641189884254
"CT","Female","Western and Central",2022,0.0477273558745782,0.0263343789041782,0.0864991161199259
"CT","Female","Western and Central",2023,0.0492692141116959,0.0255376936826882,0.0950538247245753
"NG","Female","Eastern",2005,0.0158862722475145,0.00903410517419569,0.0279356550600063
"NG","Female","Eastern",2006,0.0164815046403457,0.00970743009830785,0.0279826887712627
"NG","Female","Eastern",2007,0.0170990394082058,0.0104156292071476,0.0280710020363184
"NG","Female","Eastern",2008,0.017739712184266,0.0111555262426861,0.0282099993791793
"NG","Female","Eastern",2009,0.0184043899114924,0.0119219409489193,0.0284116126279711
"NG","Female","Eastern",2010,0.019093972015773,0.0127071750922761,0.02869085888025
"NG","Female","Eastern",2011,0.0198093916229989,0.0135005677418684,0.0290663329110509
"NG","Female","Eastern",2012,0.0205516168217477,0.0142883207584396,0.0295604333867201
"NG","Female","Eastern",2013,0.0213216519732775,0.0150538901020008,0.0301990276127463
"NG","Female","Eastern",2014,0.0221205390706049,0.0157792362651323,0.031010261875311
"NG","Female","Eastern",2015,0.0229493591485041,0.016446988684839,0.0320224629212836
"NG","Female","Eastern",2016,0.0238092337463377,0.0170430754088223,0.0332615797319246
"NG","Female","Eastern",2017,0.0247013264256966,0.0175588903923731,0.0347490936815601
"NG","Female","Eastern",2018,0.0256268443449034,0.0179921098904784,0.0365012861235058
"NG","Female","Eastern",2019,0.0265870398925101,0.0183459459229902,0.0385300759749927
"NG","Female","Eastern",2020,0.0275832123819998,0.018627398758349,0.0408448659515324
"NG","Female","Eastern",2021,0.0286167098099869,0.0188453399944587,0.0434545665182903
"NG","Female","Eastern",2022,0.0296889306802934,0.0190090006029985,0.0463692238928241
"NG","Female","Eastern",2023,0.0308013258963703,0.019127036621813,0.0496010801742527
"NG","Female","Southern",2005,0.0221501378132052,0.0125008939773488,0.0392474815027618
"NG","Female","Southern",2006,0.0230040505751987,0.0134429319417994,0.039365396266037
"NG","Female","Southern",2007,0.0238908826359905,0.0144348526756944,0.0395413992750855
"NG","Female","Southern",2008,0.0248119030716285,0.0154725393264974,0.0397885906795916
"NG","Female","Southern",2009,0.025768429882472,0.0165492005399977,0.0401235079001567
"NG","Female","Southern",2010,0.0267618318792785,0.0176546950068519,0.0405668659388797
"NG","Female","Southern",2011,0.0277935306420021,0.018774944394927,0.0411442148268964
"NG","Female","Southern",2012,0.0288650025541052,0.0198916848286581,0.0418862645183338
"NG","Female","Southern",2013,0.0299777809152959,0.0209829223730637,0.0428285122838332
"NG","Female","Southern",2014,0.0311334581357128,0.0220244604854169,0.0440098051950005
"NG","Female","Southern",2015,0.0323336880146992,0.0229925950511292,0.0454697426848545
"NG","Female","Southern",2016,0.0335801881074258,0.0238674796485832,0.0472454171924701
"NG","Female","Southern",2017,0.0348747421827498,0.0246360592950277,0.0493685953483131
"NG","Female","Southern",2018,0.036219202775827,0.0252934290913662,0.051864484051483
"NG","Female","Southern",2019,0.0376154938391301,0.0258422110772074,0.0547524889621221
"NG","Female","Southern",2020,0.0390656134956666,0.0262905090425426,0.0580484065684416
"NG","Female","Southern",2021,0.0405716368983367,0.0266494505786112,0.0617670415288635
"NG","Female","Southern",2022,0.0421357191995222,0.0269311109420249,0.0659244557821237
"NG","Female","Southern",2023,0.043760098635157,0.0271471343469273,0.0705395349684641
"NG","Female","Western and Central",2005,0.00871645344812901,0.00277688744197582,0.0273603314145642
"NG","Female","Western and Central",2006,0.00912258897772704,0.00317309374104707,0.02622728366956
"NG","Female","Western and Central",2007,0.00954764803733456,0.00361885793430249,0.0251895997852672
"NG","Female","Western and Central",2008,0.00999251235229179,0.00411700226599063,0.0242531571904973
"NG","Female","Western and Central",2009,0.0104581047311605,0.00466849196314938,0.0234276840211458
"NG","Female","Western and Central",2010,0.0109453909799609,0.00527099111872285,0.0227284738307881
"NG","Female","Western and Central",2011,0.0114553819056003,0.00591670621919478,0.0221788558940844
"NG","Female","Western and Central",2012,0.0119891354126505,0.00658947847510758,0.0218134664959996
"NG","Female","Western and Central",2013,0.0125477586978221,0.00726169010531607,0.0216817636191207
"NG","Female","Western and Central",2014,0.0131324105466887,0.00789299329170171,0.0218497850426525
"NG","Female","Western and Central",2015,0.0137443037374248,0.00843467351991656,0.0223963482143715
"NG","Female","Western and Central",2016,0.0143847075565439,0.0088423480616323,0.0234010027704217
"NG","Female","Western and Central",2017,0.015054950431855,0.0090919588999518,0.0249287898240294
"NG","Female","Western and Central",2018,0.0157564226881,0.00918680025793099,0.0270240833539127
"NG","Female","Western and Central",2019,0.0164905794309868,0.00915045372089581,0.0297186585785017
"NG","Female","Western and Central",2020,0.0172589435656016,0.00901390612287642,0.033045732775567
"NG","Female","Western and Central",2021,0.0180631089554624,0.00880621588426234,0.0370506366667659
"NG","Female","Western and Central",2022,0.0189047437287645,0.00855078454132392,0.0417960870985675
"NG","Female","Western and Central",2023,0.0197855937386782,0.00826509114350844,0.0473642350453072
"TV","Female","Eastern",2005,0.170803187357895,0.0919323110971858,0.317339229955564
"TV","Female","Eastern",2006,0.163792107752212,0.0926894066706548,0.289438194995003
"TV","Female","Eastern",2007,0.157068816905026,0.0932856771937296,0.264463034263129
"TV","Female","Eastern",2008,0.150621501747,0.093666756446657,0.242207989783884
"TV","Female","Eastern",2009,0.144438834108233,0.0937599754919761,0.222510476235471
"TV","Female","Eastern",2010,0.138509950814252,0.0934700182620783,0.205253051526898
"TV","Female","Eastern",2011,0.132824434599011,0.0926774191337941,0.190362772198885
"TV","Female","Eastern",2012,0.127372295801377,0.0912459696763388,0.177801844785704
"TV","Female","Eastern",2013,0.122143954812921,0.0890478905337471,0.167540697572021
"TV","Female","Eastern",2014,0.1171302252462,0.0860102087997513,0.159510014656136
"TV","Female","Eastern",2015,0.112322297793933,0.0821641636804112,0.153549893488623
"TV","Female","Eastern",2016,0.107711724750723,0.0776585625159198,0.149395189312154
"TV","Female","Eastern",2017,0.103290405170132,0.0727180668426713,0.146716053704958
"TV","Female","Eastern",2018,0.0990505706310162,0.0675767375961969,0.145183326264659
"TV","Female","Eastern",2019,0.0949847715881251,0.0624299685243465,0.14451563963435
"TV","Female","Eastern",2020,0.0910858642829784,0.0574182147112171,0.144494821267167
"TV","Female","Eastern",2021,0.0873469981920175,0.0526315466554751,0.144960552709933
"TV","Female","Eastern",2022,0.0837616039899845,0.0481214699763896,0.145797838395571
"TV","Female","Eastern",2023,0.0803233820073758,0.0439126064477717,0.146924681065709
"TV","Female","Southern",2005,0.181002607507057,0.0983828263149616,0.333004703681414
"TV","Female","Southern",2006,0.171113794707585,0.097093382645581,0.301564637480081
"TV","Female","Southern",2007,0.161765242736007,0.095636787916013,0.273618492712447
"TV","Female","Southern",2008,0.152927435231962,0.0939753546376615,0.248860996979451
"TV","Female","Southern",2009,0.144572468418275,0.0920635115930278,0.227030212761686
