"sti","sex","region","year","prev","lwr","upr"
"CT","Female","EA",2000,0.0238800205672305,0.017150648297329,0.0332497858043165
"CT","Female","EA",2001,0.0256097347392233,0.0186605470619925,0.0351467998893357
"CT","Female","EA",2002,0.0274647382135586,0.0202912903307867,0.0371741684655134
"CT","Female","EA",2003,0.029454106136602,0.0220495289077015,0.0393452563969836
"CT","Female","EA",2004,0.0315875709996003,0.0239414898023248,0.0416755452519041
"CT","Female","EA",2005,0.0338755702524909,0.025972751166599,0.0441830075131666
"CT","Female","EA",2006,0.0363292973665487,0.0281480013532821,0.0468885101496995
"CT","Female","EA",2007,0.038960756595679,0.0304708075751671,0.049816223306954
"CT","Female","EA",2008,0.0417828217042655,0.032943433601427,0.0529939960324845
"CT","Female","EA",2009,0.0448092989488828,0.0355667579953066,0.0564536490099916
"CT","Female","EA",2010,0.0480549946219973,0.038340347655046,0.0602311311544997
"CT","Female","EA",2011,0.051535787488096,0.0412627275648348,0.0643665009261689
"CT","Female","EA",2012,0.0552687064666205,0.0443318518435285,0.0689037292029877
"CT","Female","EA",2013,0.0592720139417493,0.0475457286433664,0.0738903732670228
"CT","Female","EA",2014,0.0635652951066026,0.0509031005805409,0.0793772225249101
"CT","Female","EA",2015,0.0681695537789621,0.0544040578712019,0.0854180413053837
"CT","Female","EA",2016,0.0731073151572628,0.0580504785964225,0.0920695170604971
"CT","Female","EA",2017,0.0784027360195626,0.0618462431365395,0.0993914699358919
"CT","Female","EA",2018,0.0840817229046136,0.065797232756417,0.10744731701378
"CT","Female","EA",2019,0.090172058853204,0.0699111688437645,0.116304738317229
"CT","Female","EA",2020,0.0967035393298242,0.0741973666106709,0.126036474690329
"CT","Female","EA",2021,0.103708117989618,0.078666469036292,0.136721196066226
"CT","Female","EA",2022,0.111220063003749,0.083330205914499,0.148444399948441
"CT","Female","EA",2023,0.119276124707963,0.0882012007742441,0.161299322463464
"CT","Female","EA",2024,0.127915715394533,0.0932928316283964,0.175387861631963
"CT","Female","SA",2000,0.116607680609786,0.082187409807887,0.165443237704872
"CT","Female","SA",2001,0.118776192016308,0.0850436306722808,0.165888775895044
"CT","Female","SA",2002,0.120985030455282,0.0879485180463893,0.16643120224658
"CT","Female","SA",2003,0.123234945874135,0.0908925251384518,0.167085817689274
"CT","Female","SA",2004,0.125526702166797,0.0938637174285088,0.167870540274233
"CT","Female","SA",2005,0.127861077433059,0.0968474711998652,0.168806215792711
"CT","Female","SA",2006,0.13023886424276,0.0998262461336802,0.169916854697006
"CT","Female","SA",2007,0.132660869904874,0.102779509443424,0.171229717861275
"CT","Female","SA",2008,0.135127916741612,0.105683912829233,0.172775149917399
"CT","Female","SA",2009,0.13764084236762,0.108513834139324,0.174586048294488
"CT","Female","SA",2010,0.140200499974363,0.111242374572057,0.176696877144859
"CT","Female","SA",2011,0.142807758619801,0.113842830570774,0.179142207021397
"CT","Female","SA",2012,0.145463503523459,0.116290532704711,0.181954888030729
"CT","Female","SA",2013,0.148168636366971,0.118564790520536,0.185164117496121
"CT","Female","SA",2014,0.150924075600221,0.120650569524414,0.188793775989362
"CT","Female","SA",2015,0.15373075675318,0.122539530142588,0.19286140190358
"CT","Female","SA",2016,0.156589632753536,0.124230207380299,0.197378025867933
"CT","Female","SA",2017,0.159501674250231,0.125727348430516,0.202348847774252
"CT","Female","SA",2018,0.162467869943021,0.127040642154978,0.207774522515572
"CT","Female","SA",2019,0.165489226918156,0.128183177832956,0.213652717064467
"CT","Female","SA",2020,0.168566770990311,0.129169944442273,0.21997962765091
"CT","Female","SA",2021,0.171701547050871,0.130016575287186,0.226751252250283
"CT","Female","SA",2022,0.174894619422692,0.130738422210902,0.233964334169987
"CT","Female","SA",2023,0.178147072221462,0.131349952634614,0.241616983520066
"CT","Female","SA",2024,0.181460009723782,0.131864413586145,0.249709032433105
"CT","Female","WCA",2000,0.0359249401947708,0.0196889159204077,0.0655496388534089
"CT","Female","WCA",2001,0.036388049668986,0.0206185851477614,0.0642182840977498
"CT","Female","WCA",2002,0.0368571291012288,0.0215713864261735,0.0629745320373279
"CT","Female","WCA",2003,0.037332255450406,0.0225423378847651,0.0618257655500886
"CT","Female","WCA",2004,0.037813506667504,0.0235246513635887,0.0607814017897198
"CT","Female","WCA",2005,0.0383009617083775,0.0245093096196341,0.0598533247387528
"CT","Female","WCA",2006,0.0387947005467036,0.0254846306832403,0.0590563312144905
"CT","Female","WCA",2007,0.0392948041871026,0.0264359035624458,0.0584085061611519
"CT","Female","WCA",2008,0.0398013546784275,0.0273452489814461,0.0579313735747234
"CT","Female","WCA",2009,0.0403144351272256,0.0281919381909714,0.0576495900571949
"CT","Female","WCA",2010,0.0408341297113732,0.0289534441837482,0.057589906703438
"CT","Female","WCA",2011,0.0413605236938863,0.0296074107771861,0.057779213897039
"CT","Female","WCA",2012,0.0418937034369087,0.0301344152988918,0.0582417933200845
"CT","Female","WCA",2013,0.0424337564158811,0.0305209138669515,0.0589963882278137
