"region","year","CT_Female","CT_Male","NG_Female","NG_Male","TV_Female","TV_Male"
"WCA",2012,"4.3 (3.1-6.0)","2.7 (1.6-4.5)","1.2 (0.8-2.0)","1.3 (0.6-2.9)","8.5 (5.9-12.3)","1.2 (0.7-2.0)"
"EA",2012,"5.3 (4.2-6.6)","3.2 (2.5-4.2)","2.2 (1.5-3.1)","1.5 (1.0-2.2)","9.2 (6.7-12.6)","3.3 (2.3-4.8)"
"SA",2012,"14.0 (11.1-17.6)","8.5 (6.6-10.8)","3.4 (2.4-4.8)","2.6 (1.8-3.8)","9.1 (6.7-12.3)","1.4 (0.9-2.1)"
"SSA",2012,"5.4 (4.2-6.6)","3.3 (2.4-4.3)","1.8 (1.2-2.4)","1.5 (0.8-2.1)","8.8 (6.1-11.5)","2.1 (1.4-2.8)"
"WCA",2016,"4.1 (2.8-5.9)","2.6 (1.5-4.4)","1.2 (0.7-2.0)","1.2 (0.5-2.8)","8.2 (5.6-12.1)","1.1 (0.7-1.9)"
"EA",2016,"7.0 (5.5-8.8)","4.2 (3.2-5.6)","2.3 (1.6-3.3)","1.6 (1.0-2.4)","8.2 (5.9-11.5)","3.0 (2.0-4.4)"
"SA",2016,"15.0 (11.8-19.0)","9.1 (7.0-11.7)","3.6 (2.5-5.2)","2.8 (1.9-4.1)","7.5 (5.4-10.5)","1.1 (0.7-1.8)"
"SSA",2016,"6.0 (4.6-7.4)","3.7 (2.7-4.8)","1.8 (1.2-2.4)","1.5 (0.8-2.2)","8.2 (5.7-10.7)","1.9 (1.2-2.5)"
"WCA",2020,"3.9 (2.5-6.2)","2.5 (1.4-4.5)","1.1 (0.6-2.2)","1.2 (0.5-2.9)","7.9 (5.1-12.3)","1.1 (0.6-1.9)"
"EA",2020,"9.2 (7.0-12.1)","5.6 (4.1-7.6)","2.4 (1.6-3.6)","1.7 (1.1-2.7)","7.4 (5.0-11.0)","2.7 (1.7-4.2)"
"SA",2020,"16.1 (12.2-21.2)","9.7 (7.3-13.0)","3.9 (2.6-5.9)","3.0 (1.9-4.6)","6.3 (4.2-9.4)","0.9 (0.6-1.6)"
"SSA",2020,"6.9 (5.2-8.7)","4.2 (3.0-5.5)","1.8 (1.1-2.5)","1.5 (0.8-2.2)","7.6 (5.1-10.1)","1.7 (1.1-2.4)"
