"variable","CT","NG","TV"
"(Intercept)","0.14 (0.11-0.17)","0.03 (0.02-0.04)","0.10 (0.07-0.15)"
"Western and Central","0.28 (0.19-0.42)","0.43 (0.26-0.71)","1.32 (0.87-2.00)"
"Eastern","0.46 (0.41-0.52)","0.72 (0.59-0.89)","1.09 (0.78-1.52)"
"Southern","Ref","Ref","Ref"
"Western and Central:Male","0.66 (0.36-1.22)","0.98 (0.45-2.11)","0.04 (0.01-0.30)"
"Eastern:Male","0.48 (0.42-0.54)","0.55 (0.43-0.71)","0.30 (0.23-0.41)"
"Southern:Male","0.62 (0.56-0.69)","0.79 (0.64-0.97)","0.14 (0.10-0.19)"
"Western and Central:Both sexes","-","-","-"
"Eastern:Both sexes","1.28 (0.41-4.00)","1.57 (0.38-6.41)","0.86 (0.16-4.56)"
"Southern:Both sexes","0.23 (0.06-0.84)","0.16 (0.03-0.93)","-"
"Western and Central:Year","1.03 (0.95-1.11)","1.06 (0.96-1.17)","0.95 (0.89-1.02)"
"Eastern:Year","1.13 (1.09-1.17)","1.05 (1.00-1.09)","0.96 (0.90-1.02)"
"Southern:Year","1.06 (1.03-1.10)","1.04 (1.00-1.09)","0.94 (0.90-1.00)"
"ANC attendees","Ref","Ref","Ref"
"FP attendees","0.77 (0.55-1.09)","1.02 (0.61-1.70)","0.41 (0.19-0.85)"
"GYN attendees","1.00 (0.54-1.83)","0.60 (0.29-1.27)","0.83 (0.46-1.51)"
"PHC/OPD attendees","0.83 (0.59-1.16)","1.40 (0.89-2.21)","0.78 (0.44-1.40)"
"Students","0.52 (0.30-0.90)","0.58 (0.28-1.21)","0.40 (0.16-0.99)"
"Community members","1.01 (0.62-1.64)","1.17 (0.63-2.17)","1.06 (0.20-5.47)"
"HIV/STI prevention trial participants","0.96 (0.65-1.41)","1.20 (0.73-1.98)","0.95 (0.52-1.72)"
"Population-representative survey participants","0.79 (0.46-1.35)","1.03 (0.52-2.04)","1.26 (0.61-2.59)"
"Adult","Ref","Ref","Ref"
"Youth","1.75 (1.21-2.55)","1.64 (1.02-2.62)","0.72 (0.37-1.41)"
"Mixed","Ref","Ref","Ref"
"HIV negative","1.39 (1.08-1.81)","1.07 (0.73-1.56)","0.73 (0.46-1.15)"
"HIV positive","1.21 (0.64-2.28)","1.42 (0.63-3.23)","2.22 (0.84-5.85)"
