"variable","CT","NG","TV"
"(Intercept)","0.15 (0.12-0.18)","0.04 (0.03-0.06)","0.16 (0.10-0.25)"
"WCA","0.29 (0.21-0.41)","0.29 (0.17-0.48)","0.90 (0.36-2.30)"
"EA","0.38 (0.35-0.41)","0.64 (0.56-0.73)","0.54 (0.33-0.88)"
"SA","Ref","Ref","Ref"
"WCA:Male","0.55 (0.33-0.92)","1.13 (0.57-2.23)","0.04 (0.01-0.29)"
"EA:Male","0.61 (0.53-0.71)","0.71 (0.57-0.87)","0.39 (0.31-0.47)"
"SA:Male","0.61 (0.56-0.67)","0.81 (0.69-0.94)","0.15 (0.11-0.20)"
"WCA:Year","1.01 (0.97-1.05)","1.05 (0.99-1.12)","0.88 (0.75-1.03)"
"EA:Year","1.07 (1.05-1.10)","1.02 (0.99-1.05)","0.95 (0.88-1.02)"
"SA:Year","1.02 (1.00-1.04)","1.02 (0.99-1.05)","0.97 (0.91-1.03)"
"ANC attendees","Ref","Ref","Ref"
"FP attendees","0.94 (0.61-1.45)","0.94 (0.50-1.75)","0.06 (0.00-0.80)"
"GYN attendees","0.97 (0.55-1.70)","0.64 (0.26-1.56)","0.68 (0.27-1.72)"
"PHC/OPD attendees","0.78 (0.56-1.10)","1.24 (0.76-2.02)","0.93 (0.46-1.86)"
"Students","0.72 (0.46-1.11)","0.77 (0.43-1.41)","2.35 (0.99-5.55)"
"Community members","0.95 (0.65-1.37)","0.85 (0.50-1.43)","0.67 (0.22-2.03)"
"HIV/STI prevention trial participants","0.83 (0.59-1.19)","1.07 (0.65-1.74)","0.94 (0.38-2.32)"
"Population-representative survey participants","0.87 (0.57-1.34)","1.09 (0.61-1.97)","0.97 (0.35-2.68)"
"Adult","Ref","Ref","Ref"
"Youth","1.31 (0.99-1.73)","1.28 (0.89-1.85)","0.32 (0.14-0.74)"
"Mixed","Ref","Ref","Ref"
"HIV negative","1.40 (1.06-1.85)","0.96 (0.65-1.41)","0.60 (0.30-1.19)"
