variable,CT,NG,TV,,
Intercept,0.13 (0.10-0.16),0.03 (0.02-0.05),0.10 (0.07-0.13),,Intercept & 0.13 (0.10-0.16) & 0.03 (0.02-0.05) & 0.10 (0.07-0.13) \\ 
Western and Central,0.29 (0.21-0.40),0.32 (0.20-0.52),0.89 (0.64-1.23),,\hspace{0.2cm} Western and Central & 0.29 (0.21-0.40) & 0.32 (0.20-0.52) & 0.89 (0.64-1.23) \\ 
Eastern,0.36 (0.34-0.40),0.63 (0.56-0.72),0.99 (0.85-1.17),,\hspace{0.2cm} Eastern & 0.36 (0.34-0.40) & 0.63 (0.56-0.72) & 0.99 (0.85-1.17) \\ 
Southern,Ref,Ref,Ref,,\hspace{0.2cm} Southern & Ref & Ref & Ref \\ 
Western and Central:Male,0.79 (0.57-1.08),0.86 (0.45-1.66),0.15 (0.10-0.23),,\hspace{0.2cm} Western and Central:Male & 0.79 (0.57-1.08) & 0.86 (0.45-1.66) & 0.15 (0.10-0.23) \\ 
Eastern:Male,0.73 (0.65-0.82),0.58 (0.48-0.70),0.53 (0.46-0.62),,\hspace{0.2cm} Eastern:Male & 0.73 (0.65-0.82) & 0.58 (0.48-0.70) & 0.53 (0.46-0.62) \\ 
Southern:Male,0.64 (0.59-0.69),0.60 (0.51-0.69),0.26 (0.22-0.30),,\hspace{0.2cm} Southern:Male & 0.64 (0.59-0.69) & 0.60 (0.51-0.69) & 0.26 (0.22-0.30) \\ 
Western and Central:Year,0.99 (0.95-1.02),0.99 (0.93-1.04),0.99 (0.96-1.02),,\hspace{0.2cm} Western and Central:Year & 0.99 (0.95-1.02) & 0.99 (0.93-1.04) & 0.99 (0.96-1.02) \\ 
Eastern:Year,1.07 (1.05-1.10),1.01 (0.99-1.04),0.97 (0.94-1.01),,\hspace{0.2cm} Eastern:Year & 1.07 (1.05-1.10) & 1.01 (0.99-1.04) & 0.97 (0.94-1.01) \\ 
Southern:Year,1.01 (0.99-1.03),1.01 (0.98-1.04),0.96 (0.92-0.99),,\hspace{0.2cm} Southern:Year & 1.01 (0.99-1.03) & 1.01 (0.98-1.04) & 0.96 (0.92-0.99) \\ 
ANC attendees,Ref,Ref,Ref,,\hspace{0.2cm} ANC attendees & Ref & Ref & Ref \\ 
FP attendees,0.97 (0.64-1.48),0.87 (0.46-1.66),0.50 (0.29-0.85),,\hspace{0.2cm} FP attendees & 0.97 (0.64-1.48) & 0.87 (0.46-1.66) & 0.50 (0.29-0.85) \\ 
GYN attendees,0.97 (0.53-1.76),0.69 (0.31-1.56),1.47 (0.89-2.43),,\hspace{0.2cm} GYN attendees & 0.97 (0.53-1.76) & 0.69 (0.31-1.56) & 1.47 (0.89-2.43) \\ 
PHC/OPD attendees,0.77 (0.55-1.09),1.43 (0.86-2.35),0.85 (0.56-1.29),,\hspace{0.2cm} PHC/OPD attendees & 0.77 (0.55-1.09) & 1.43 (0.86-2.35) & 0.85 (0.56-1.29) \\ 
Students,1.05 (0.69-1.62),1.21 (0.58-2.56),1.12 (0.70-1.79),,\hspace{0.2cm} Students & 1.05 (0.69-1.62) & 1.21 (0.58-2.56) & 1.12 (0.70-1.79) \\ 
Community members,0.99 (0.67-1.46),1.14 (0.65-1.99),0.88 (0.46-1.68),,\hspace{0.2cm} Community members & 0.99 (0.67-1.46) & 1.14 (0.65-1.99) & 0.88 (0.46-1.68) \\ 
HIV/STI prevention trial participants,0.87 (0.60-1.26),1.10 (0.64-1.89),0.97 (0.60-1.55),,\hspace{0.2cm} HIV/STI prevention trial participants & 0.87 (0.60-1.26) & 1.10 (0.64-1.89) & 0.97 (0.60-1.55) \\ 
Population-representative survey participants,0.92 (0.59-1.44),1.25 (0.65-2.40),1.29 (0.71-2.35),,\hspace{0.2cm} Population-representative survey participants & 0.92 (0.59-1.44) & 1.25 (0.65-2.40) & 1.29 (0.71-2.35) \\ 
Adult,Ref,Ref,Ref,,\hspace{0.2cm} Adult & Ref & Ref & Ref \\ 
Youth,1.12 (0.84-1.49),1.01 (0.66-1.54),0.63 (0.40-0.99),,\hspace{0.2cm} Youth & 1.12 (0.84-1.49) & 1.01 (0.66-1.54) & 0.63 (0.40-0.99) \\ 
Unstratified,Ref,Ref,Ref,,\hspace{0.2cm} Unstratified & Ref & Ref & Ref \\ 
HIV negative,1.45 (1.09-1.94),1.21 (0.79-1.85),0.82 (0.57-1.17),,\hspace{0.2cm} HIV negative & 1.45 (1.09-1.94) & 1.21 (0.79-1.85) & 0.82 (0.57-1.17) \\ 
NAAT,Ref,Ref,Ref,,\hspace{0.2cm} NAAT & Ref & Ref & Ref \\ 
Culture,-,1.04 (0.63-1.71),0.84 (0.55-1.28),,\hspace{0.2cm} Culture & - & 1.04 (0.63-1.71) & 0.84 (0.55-1.28) \\ 
DFA,0.78 (0.37-1.64),-,-,,\hspace{0.2cm} DFA & 0.78 (0.37-1.64) & - & - \\ 
ELISA,1.55 (0.58-4.12),-,-,,\hspace{0.2cm} ELISA & 1.55 (0.58-4.12) & - & - \\ 
Rapid antigen test,1.92 (1.16-3.18),1.95 (0.35-10.89),0.87 (0.48-1.58),,\hspace{0.2cm} Rapid antigen test & 1.92 (1.16-3.18) & 1.95 (0.35-10.89) & 0.87 (0.48-1.58) \\ 
Wet mount,-,-,0.74 (0.53-1.04),,\hspace{0.2cm} Wet mount & - & - & 0.74 (0.53-1.04) \\ 
