"variable","CT","NG","TV"
"(Intercept)","0.14 (0.11-0.18)","0.03 (0.02-0.05)","0.09 (0.07-0.12)"
"WCA","0.31 (0.22-0.43)","0.36 (0.23-0.57)","0.94 (0.68-1.31)"
"EA","0.38 (0.35-0.41)","0.64 (0.56-0.74)","1.01 (0.85-1.21)"
"SA","Ref","Ref","Ref"
"WCA:Male","0.63 (0.43-0.93)","1.05 (0.54-2.04)","0.14 (0.09-0.20)"
"EA:Male","0.61 (0.53-0.70)","0.69 (0.56-0.85)","0.36 (0.30-0.44)"
"SA:Male","0.61 (0.55-0.66)","0.76 (0.65-0.90)","0.15 (0.11-0.20)"
"WCA:Year","0.99 (0.95-1.03)","0.99 (0.94-1.04)","0.99 (0.96-1.02)"
"EA:Year","1.07 (1.05-1.09)","1.01 (0.99-1.04)","0.97 (0.94-1.01)"
"SA:Year","1.02 (1.00-1.04)","1.02 (0.99-1.05)","0.96 (0.92-0.99)"
"ANC attendees","Ref","Ref","Ref"
"FP attendees","0.95 (0.63-1.45)","0.90 (0.50-1.64)","0.54 (0.32-0.90)"
"GYN attendees","1.03 (0.57-1.88)","0.87 (0.42-1.82)","1.34 (0.80-2.25)"
"PHC/OPD attendees","0.81 (0.57-1.14)","1.49 (0.92-2.39)","0.94 (0.61-1.43)"
"Students","1.06 (0.69-1.63)","1.14 (0.56-2.31)","1.23 (0.76-1.99)"
"Community members","0.97 (0.66-1.44)","1.10 (0.65-1.87)","0.96 (0.50-1.86)"
"HIV/STI prevention trial participants","0.89 (0.61-1.28)","1.20 (0.72-1.99)","1.00 (0.62-1.63)"
"Population-representative survey participants","0.90 (0.58-1.42)","1.19 (0.64-2.20)","1.32 (0.71-2.44)"
"Adult","Ref","Ref","Ref"
"Youth","1.14 (0.85-1.52)","1.12 (0.75-1.68)","0.55 (0.35-0.88)"
"Mixed","Ref","Ref","Ref"
"HIV negative","1.42 (1.06-1.90)","1.06 (0.71-1.59)","0.79 (0.56-1.14)"
"NAAT","Ref","Ref","Ref"
"Culture",NA,"1.60 (1.00-2.54)","1.36 (0.89-2.09)"
"DFA","0.70 (0.32-1.51)",NA,NA
"ELISA","2.26 (0.86-5.98)",NA,NA
"Rapid antigen test","2.94 (1.76-4.92)","0.52 (0.06-4.61)","1.03 (0.56-1.90)"
"Wet mount",NA,NA,"1.61 (1.14-2.29)"
