variable,CT,NG,TV,,
Intercept,0.12 (0.08-0.19),0.04 (0.02-0.08),0.22 (0.18-0.25),,Intercept & 0.12 (0.08-0.19) & 0.04 (0.02-0.08) & 0.22 (0.18-0.25) \\ 
Western and Central,0.28 (0.13-0.57),0.45 (0.15-1.35),0.35 (0.23-0.52),,\hspace{0.2cm} Western and Central & 0.28 (0.13-0.57) & 0.45 (0.15-1.35) & 0.35 (0.23-0.52) \\ 
Eastern,0.44 (0.28-0.67),0.48 (0.24-0.95),0.80 (0.63-1.02),,\hspace{0.2cm} Eastern & 0.44 (0.28-0.67) & 0.48 (0.24-0.95) & 0.80 (0.63-1.02) \\ 
Southern,Ref,Ref,Ref,,\hspace{0.2cm} Southern & Ref & Ref & Ref \\ 
Western and Central:Year,1.03 (0.95-1.11),1.19 (1.05-1.35),1.02 (1.00-1.04),,\hspace{0.2cm} Western and Central:Year & 1.03 (0.95-1.11) & 1.19 (1.05-1.35) & 1.02 (1.00-1.04) \\ 
Eastern:Year,1.07 (1.03-1.10),1.00 (0.95-1.05),0.95 (0.80-1.12),,\hspace{0.2cm} Eastern:Year & 1.07 (1.03-1.10) & 1.00 (0.95-1.05) & 0.95 (0.80-1.12) \\ 
Southern:Year,1.05 (1.00-1.10),1.04 (0.96-1.13),0.90 (0.86-0.94),,\hspace{0.2cm} Southern:Year & 1.05 (1.00-1.10) & 1.04 (0.96-1.13) & 0.90 (0.86-0.94) \\ 
,,,,,\hspace{0.2cm}  &  &  &  \\ 
Male,0.67 (0.63-0.71),0.59 (0.52-0.66),0.34 (0.31-0.38),,\hspace{0.2cm} Male & 0.67 (0.63-0.71) & 0.59 (0.52-0.66) & 0.34 (0.31-0.38) \\ 
Adult,Ref,Ref,Ref,,\hspace{0.2cm} Adult & Ref & Ref & Ref \\ 
Youth,1.08 (0.72-1.62),1.04 (0.56-1.93),0.38 (0.27-0.54),,\hspace{0.2cm} Youth & 1.08 (0.72-1.62) & 1.04 (0.56-1.93) & 0.38 (0.27-0.54) \\ 
Mixed,Ref,Ref,Ref,,\hspace{0.2cm} Mixed & Ref & Ref & Ref \\ 
HIV negative,1.14 (0.73-1.77),1.17 (0.59-2.32),0.60 (0.26-1.40),,\hspace{0.2cm} HIV negative & 1.14 (0.73-1.77) & 1.17 (0.59-2.32) & 0.60 (0.26-1.40) \\ 
NAAT,Ref,Ref,Ref,,\hspace{0.2cm} NAAT & Ref & Ref & Ref \\ 
Culture,-,6.18 (1.55-24.62),2.07 (1.31-3.25),,\hspace{0.2cm} Culture & - & 6.18 (1.55-24.62) & 2.07 (1.31-3.25) \\ 
DFA,1.71 (0.55-5.31),-,-,,\hspace{0.2cm} DFA & 1.71 (0.55-5.31) & - & - \\ 
Rapid antigen test,-,-,1.13 (0.28-4.62),,\hspace{0.2cm} Rapid antigen test & - & - & 1.13 (0.28-4.62) \\ 
Wet mount,-,-,0.00 (0.00-Inf),,\hspace{0.2cm} Wet mount & - & - & 0.00 (0.00-Inf) \\ 
