"var","group","CT","NG","TV","CT_tot","NG_tot","TV_tot","ALL","ALL_tot"
"Region","WA","20 (14.4%)","20 (14.3%)","52 (31.9%)",139,140,163,"60 (28.3%)",212
"Region","CA","10 (7.2%)","8 (5.7%)","8 (4.9%)",139,140,163,"12 (5.7%)",212
"Region","EA","69 (49.6%)","70 (50.0%)","63 (38.7%)",139,140,163,"90 (42.5%)",212
"Region","SA","49 (35.3%)","51 (36.4%)","46 (28.2%)",139,140,163,"59 (27.8%)",212
"Region","Multiple","1 (0.7%)","1 (0.7%)","1 (0.6%)",139,140,163,"1 (0.5%)",212
"Study midpoint year","2000-2004","27 (19.4%)","32 (22.9%)","35 (21.5%)",139,140,163,"46 (21.7%)",212
"Study midpoint year","2005-2009","18 (12.9%)","19 (13.6%)","21 (12.9%)",139,140,163,"27 (12.7%)",212
"Study midpoint year","2010-2014","35 (25.2%)","31 (22.1%)","38 (23.3%)",139,140,163,"51 (24.1%)",212
"Study midpoint year","2015-2019","42 (30.2%)","41 (29.3%)","54 (33.1%)",139,140,163,"64 (30.2%)",212
"Study midpoint year","2020-2024","18 (12.9%)","17 (12.1%)","15 (9.2%)",139,140,163,"25 (11.8%)",212
"Population group","ANC attendees","39 (28.1%)","42 (30.0%)","76 (46.6%)",139,140,163,"86 (40.6%)",212
"Population group","FP attendees","12 (8.6%)","12 (8.6%)","11 (6.7%)",139,140,163,"17 (8.0%)",212
"Population group","GYN attendees","6 (4.3%)","8 (5.7%)","11 (6.7%)",139,140,163,"14 (6.6%)",212
"Population group","PHC/OPD attendees","22 (15.8%)","22 (15.7%)","20 (12.3%)",139,140,163,"30 (14.2%)",212
"Population group","Students","14 (10.1%)","10 (7.1%)","15 (9.2%)",139,140,163,"19 (9.0%)",212
"Population group","Community members","15 (10.8%)","16 (11.4%)","6 (3.7%)",139,140,163,"17 (8.0%)",212
"Population group","HIV/STI prevention trial participants","22 (15.8%)","22 (15.7%)","22 (13.5%)",139,140,163,"24 (11.3%)",212
"Population group","Population-representative survey participants","10 (7.2%)","10 (7.1%)","8 (4.9%)",139,140,163,"11 (5.2%)",212
"Sex","Female","133 (95.7%)","135 (96.4%)","157 (96.3%)",139,140,163,"205 (96.7%)",212
"Sex","Male","33 (23.7%)","31 (22.1%)","19 (11.7%)",139,140,163,"37 (17.5%)",212
"Age group","Adult","113 (81.3%)","116 (82.9%)","144 (88.3%)",139,140,163,"184 (86.8%)",212
"Age group","Youth","27 (19.4%)","25 (17.9%)","22 (13.5%)",139,140,163,"31 (14.6%)",212
"HIV status","Mixed","103 (74.1%)","103 (73.6%)","126 (77.3%)",139,140,163,"167 (78.8%)",212
"HIV status","HIV negative","37 (26.6%)","38 (27.1%)","38 (23.3%)",139,140,163,"46 (21.7%)",212
