Region,Reference,Study,Year,Country,Population,Age,Age range,HIV status,STI,Sex
WA,Lagarde 2004,,2000,Burkina Faso,Population-representative survey participants,Adult,13 to 49,Mixed,"CT, NG, TV","Female, Male"
WA,Lafort 2003,RETRO-CI,2000,Cote d'Ivoire,FP attendees,Adult,18 to 53,Mixed,"CT, NG, TV",Female
WA,Aboyeji 2003,,2000,Nigeria,ANC attendees,Adult,19 to 43,Mixed,"NG, TV",Female
WA,Donbraye 2010,,2000,Nigeria,ANC attendees,Adult,NR,Mixed,TV,Female
WA,Apea-Kubi 2004,Apea,2001,Ghana,ANC attendees,Adult,16+,Mixed,"CT, NG",Female
WA,Apea-Kubi 2005,Apea,2002,Ghana,ANC attendees,Adult,16+,Mixed,TV,Female
WA,Adejuwon 2005,,2002*,Nigeria,FP attendees,Adult,NR,Mixed,"NG, TV",Female
WA,Obiajuru 2005,,2002,Nigeria,Community members,Adult,NR,Mixed,"NG, TV",Female
WA,Tukur 2006,,2002,Nigeria,FP attendees,Adult,NR,Mixed,CT,Female
WA,Balaka 2005,,2002,Togo,ANC attendees,Adult,16 to 42,Mixed,TV,Female
WA,Kirakoya-Samadoulougou 2008,,2003,Burkina Faso,ANC attendees,Adult,14 to 49,Mixed,TV,Female
WA,Siemer 2008,,2003,Ghana,ANC attendees,Adult,NR,Mixed,CT,Female
WA,Chigbu 2006,,2003*,Nigeria,ANC attendees,Adult,15 to 65,Mixed,"NG, TV",Female
WA,Chigbu 2006,,2003*,Nigeria,GYN attendees,Adult,15 to 65,Mixed,"NG, TV",Female
WA,Inabo 2006,,2003*,Nigeria,ANC attendees,Adult,18 to 47,Mixed,TV,Female
WA,Jatau 2006,,2003*,Nigeria,ANC attendees,Adult,16+,Mixed,TV,Female
WA,Sagay 2005,,2003,Nigeria,ANC attendees,Adult,NR,Mixed,TV,Female
WA,Yirenya-Tawiah 2014,,2006,Ghana,Community members,Adult,15 to 49,Mixed,"CT, NG",Female
WA,Fayemiwo 2018,,2006,Nigeria,FP attendees,Adult,19 to 54,Mixed,"CT, NG, TV",Female
WA,Omoregie 2009,,2006*,Nigeria,PHC/OPD attendees,Adult,NR,HIV negative,TV,"Female, Male"
WA,Dosso 2010,,2007*,Cote d'Ivoire,ANC attendees,Adult,NR,Mixed,"CT, NG, TV",Female
WA,Chinyere 2012,,2007,Nigeria,ANC attendees,Adult,15 to 40,Mixed,TV,Female
WA,Niemogha 2010,,2007*,Nigeria,FP attendees,Adult,NR,Mixed,TV,Female
WA,Niemogha 2010,,2007*,Nigeria,GYN attendees,Adult,NR,Mixed,TV,Female
